13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;10,7%;17.980;16,8%;3.014;17,7%;3.178;14,9%;2.678;17,1%;3.068;12,1%;2.181;19,7%;3.539
Tasa absoluta de paro registrado (agosto 2018);7,9%;;11,3%;;13,6%;;11,2%;;9,7%;;10,9%;;12,2%;;11,3%;
Tasa absoluta de paro registrado MUJERES;8,6%;;12,2%;;14,2%;;11,7%;;10,7%;;12,2%;;13,3%;;12,1%;
De 16 a 24 años;4,6%;;8,7%;;11,3%;;7,9%;;6,2%;;9,4%;;10,3%;;8,5%;
De 25 a 44 años;8,3%;;12,5%;;15,5%;;11,2%;;11,2%;;12,4%;;13,4%;;12,2%;
De 45 a 64 años;10,1%;;13,1%;;13,9%;;13,7%;;11,7%;;12,7%;;14,1%;;13,2%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;10,4%;;13,0%;;10,6%;;8,7%;;9,5%;;11,0%;;10,4%;
De 16 a 24 años;4,5%;;8,3%;;10,7%;;7,4%;;6,6%;;8,6%;;8,8%;;8,5%;
De 25 a 44 años;6,1%;;9,1%;;11,2%;;8,3%;;8,6%;;8,3%;;9,6%;;8,9%;
De 45 a 64 años;9,1%;;12,6%;;15,5%;;14,6%;;9,5%;;11,0%;;13,4%;;12,6%;
Parados de larga duración (agosto 2018);41,0%;68.898;44,0%;7.918;;;;;;;;;;;;
Hombres;40,4%;27.816;41,8%;3.306;;;;;;;;;;;;
Mujeres ;59,6%;41.082;58,2%;4.612;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;31,7%;5.696;;;;;;;;;;;;
Hombres;47,0%;29.412;50,1%;2.853;;;;;;;;;;;;
Mujeres ;53,0%;33.129;49,9%;2.843;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;68,3%;12.284;;;;;;;;;;;;
Hombres;40,7%;42.906;42,1%;5.173;;;;;;;;;;;;
Mujeres ;59,3%;62.424;57,9%;7.111;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100%;32.465;100%;4.962;100%;6.058;100%;5.432;100%;5.944;100%;3.831;100%;6.238
0 a 2 años;18,8%;87.088;18,6%;6.039;18,2%;903;20,9%;1.268;15,6%;848;18,1%;1.078;18,7%;715;19,7%;1.227
Infantil (3 a 5 años);18,7%;86.699;17,7%;5.735;17,2%;851;18,1%;1.095;16,3%;886;18,2%;1.079;18,0%;689;18,2%;1.135
