19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;0,4%;5;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;72,9%;870;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;4,8%;576;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;28,8%;166;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,0%;0;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;71,2%;410;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;7,7%;3.916;12,1%;3.162;4,7%;577;1,4%;167;1,4%;10;;;;
Primaria incompleta;12,1%;301.397;14,3%;7.215;20,9%;5.466;9,4%;1.145;4,8%;552;7,4%;52;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;32,8%;16.602;39,4%;10.296;27,5%;3.347;23,5%;2.714;34,9%;245;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;20,1%;10.178;15,2%;3.966;24,8%;3.019;26,0%;3.006;26,6%;187;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;9,2%;4.650;4,7%;1.234;11,4%;1.388;16,9%;1.949;11,3%;79;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;15,8%;7.973;7,6%;1.983;22,2%;2.703;27,4%;3.158;18,4%;129;;;;
Nivel de estudios desconocido y no consta;0,1%;3.467;0,0%;5;0,0%;4;0,0%;1;0,0%;0;0,0%;0;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;2,1%;80;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;53,8%;43;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;46,3%;37;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;29,6%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;21,3%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;68,7%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,6%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,2%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;34,6%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;20,6%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
