12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;0,3%;5;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;47,2%;772;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;8,3%;8.651;11,8%;1.998;13,5%;1.347;8,2%;1.374;6,7%;1.067;5,0%;1.021;7,7%;815;7,8%;1.029;;;;
Primaria incompleta;11,6%;291.746;18,9%;19.657;18,7%;3.153;19,1%;1.906;17,6%;2.961;18,8%;3.012;17,7%;3.624;19,3%;2.037;22,5%;2.964;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;39,6%;41.132;37,1%;6.265;38,4%;3.837;38,9%;6.552;39,6%;6.350;39,2%;8.020;41,6%;4.400;43,3%;5.708;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;16,8%;17.419;17,3%;2.924;13,1%;1.309;17,8%;2.998;16,7%;2.683;18,2%;3.733;17,0%;1.800;14,9%;1.972;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;6,1%;6.299;6,0%;1.016;5,6%;560;6,7%;1.123;6,6%;1.062;7,1%;1.452;4,9%;519;4,3%;567;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;10,3%;10.711;8,9%;1.500;10,2%;1.022;10,8%;1.813;11,5%;1.841;12,7%;2.595;9,4%;998;7,1%;942;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;65;0,1%;17;0,1%;5;0,0%;4;0,0%;8;0,1%;16;0,0%;5;0,1%;10;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;103.934;1;16.873;1;9.986;1;16.825;1;16.023;1;20.461;1;10.574;1;13.192;0;0;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;8,9%;357;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;53,2%;190;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;46,8%;167;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;34,4%;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,7%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,5%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;66,3%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,6%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;43,4%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;20,5%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;
