04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;4,5%;;2,8%;;4,2%;;5,6%;;5,2%;;4,4%;;3,4%;;;;
De 16 a 24 años;4,4%;;2,1%;;0,4%;;1,8%;;3,4%;;3,2%;;1,1%;;1,2%;;;;
De 25 a 44 años;6,0%;;3,7%;;2,6%;;3,6%;;4,4%;;4,2%;;3,7%;;2,5%;;;;
De 45 a 64 años;8,9%;;6,2%;;3,6%;;5,5%;;7,7%;;7,0%;;6,4%;;5,3%;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;36,1%;1.702;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;39,4%;671;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;60,6%;1.031;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;48,3%;2.276;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;43,9%;1000;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;56,1%;1.276;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;51,7%;2.441;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;39,4%;961;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;60,6%;1.480;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464.338;100%;16.586;100%;1.874;100%;3.219;100%;2.340;100%;4.789;100%;2.369;100%;1.995;;;
0 a 2 años;18,2%;84.692;20,9%;3.467;22,1%;414;22,7%;731;21,0%;492;18,8%;902;21,9%;518;20,6%;410;;;
Infantil (3 a 5 años);18,7%;86.684;19,1%;3.166;20,1%;377;20,3%;654;18,2%;427;18,7%;894;18,5%;439;18,8%;375;;;
Primaria (6 a 11 años);38,4%;178.445;36,3%;6.016;35,1%;657;34,1%;1.097;37,6%;881;37,9%;1.815;35,5%;841;36,3%;725;;;
Secundaria (12 a 15 años);24,7%;114.517;23,7%;3.937;22,7%;426;22,9%;737;23,1%;540;24,6%;1.178;24,1%;571;24,3%;485;;;
Etapas educativas. Total niños;51,2%;237.557;50,5%;8.381;50,8%;952;51,3%;1.650;49,0%;1.147;52,0%;2.490;49,4%;1.170;48,7%;972;;;
0 a 2 años;18,2%;43.261;21,0%;1.756;21,6%;206;22,7%;375;21,5%;247;19,3%;480;22,2%;260;19,3%;188;;;
Infantil (3 a 5 años);18,7%;44.354;18,9%;1.586;21,0%;200;19,8%;326;17,8%;204;18,5%;461;18,2%;213;18,7%;182;;;
Primaria (6 a 11 años);38,5%;91.575;36,5%;3.060;35,5%;338;34,4%;568;38,6%;443;37,1%;924;36,2%;424;37,3%;363;;;
Secundaria (12 a 15 años);24,6%;58.367;23,6%;1.979;21,8%;208;23,1%;381;22,1%;253;25,1%;625;23,3%;273;24,6%;239;;;
Etapas educativas. Total niñas;48,8%;226.781;49,5%;8.205;49,2%;922;48,7%;1.569;51,0%;1.193;48,0%;2.299;50,6%;1.199;51,3%;1023;;;
0 a 2 años;18,3%;41.431;20,9%;1.711;22,6%;208;22,7%;356;20,5%;245;18,4%;422;21,5%;258;21,7%;222;;;
Infantil (3 a 5 años);18,7%;42.330;19,3%;1.580;19,2%;177;20,9%;328;18,7%;223;18,8%;433;18,8%;226;18,9%;193;;;
Primaria (6 a 11 años);38,3%;86.870;36,0%;2.956;34,6%;319;33,7%;529;36,7%;438;38,8%;891;34,8%;417;35,4%;362;;;
Secundaria (12 a 15 años);24,8%;56.150;23,9%;1.958;23,6%;218;22,7%;356;24,1%;287;24,1%;553;24,9%;298;24,0%;246;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;19.530;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;66,3%;12.943;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;17,4%;3.398;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;16,3%;3.189;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;6,2%;1.209;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;47,2%;571;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;12,5%;151;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;40,3%;487;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;2,3%;456;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;80,0%;365;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;1,8%;8;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;18,2%;83;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;1,6%;1.889;0,9%;113;1,6%;396;2,1%;354;1,8%;613;1,5%;248;1,2%;165;;;
Primaria incompleta;11,6%;291.746;5,1%;6.040;3,1%;390;4,9%;1.185;7,1%;1.232;5,6%;1.882;4,9%;837;3,8%;514;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;14,4%;16.947;11,3%;1.416;14,3%;3.464;17,8%;3.076;15,0%;5.056;13,5%;2.293;12,2%;1.642;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;18,4%;21.753;16,5%;2.066;17,9%;4.333;19,5%;3.372;19,6%;6.573;17,9%;3.027;17,6%;2.382;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;10,7%;12.678;9,4%;1.182;10,5%;2.525;11,8%;2.043;11,8%;3.950;10,4%;1.756;9,0%;1.222;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;49,6%;58.513;58,7%;7.356;50,5%;12.208;41,5%;7.154;46,1%;15.489;51,6%;8.746;55,9%;7.560;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;168;0,1%;14;0,2%;40;0,1%;20;0,1%;33;0,2%;32;0,2%;29;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;117.988;1;12.537;1;24.151;1;17.251;1;33.596;1;16.939;1;13.514;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;0,6%;25;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;56,0%;14;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;44,0%;11;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,7%;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,9%;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,5%;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;76,2%;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,6%;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;41,0%;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;15,9%;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,3%;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;11,8%;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;25,3%;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;39,4%;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;16,5%;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;3,4%;6.835;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;42,5%;2.906;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;57,5%;3.929;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;135,2;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;78,2;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;77,5;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;71,6;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;
