20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;16,6%;2.074;17,0%;374;18,7%;107;19,2%;130;15,2%;287;14,5%;411;19,3%;340;8,8%;325;7,5%;100;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;38,3%;4.799;39,5%;870;38,5%;220;39,5%;268;37,4%;708;35,7%;1.015;42,2%;745;20,2%;743;17,2%;230;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;29,6%;3.703;26,2%;576;24,5%;140;23,2%;157;33,6%;636;39,3%;1.115;20,7%;366;12,9%;474;17,8%;239;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;49,1%;12.054;49,5%;2.159;49,4%;558;47,9%;623;49,8%;1.881;49,2%;2.754;47,9%;1.624;48,9%;1.800;48,9%;655;;;;;;;;
0 a 2 años;18,3%;41.431;15,2%;1.828;14,8%;319;18,6%;104;19,3%;120;15,6%;294;10,9%;299;17,7%;287;17,3%;312;14,2%;93;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;16,1%;1.941;16,4%;355;16,8%;94;16,9%;105;14,6%;274;12,7%;350;19,5%;317;17,6%;316;19,8%;130;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;38,9%;4.683;42,4%;915;38,7%;216;39,3%;245;37,2%;700;37,3%;1.028;42,4%;688;37,6%;676;32,8%;215;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;29,9%;3.602;26,4%;570;25,8%;144;24,6%;153;32,6%;613;39,1%;1.077;20,4%;332;27,6%;496;33,1%;217;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;25.315;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;35,4%;8.955;;;;;;;;;;;;;;;;;;;;;;;;
