14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;45,6%;38.228;45,5%;3.640;47,8%;2.875;46,2%;11.451;45,5%;7.195;45,5%;6.594;44,0%;6.473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;54,4%;45.552;54,5%;4.358;52,2%;3.140;53,8%;13.332;54,5%;8.606;54,5%;7.894;56,0%;8.222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;10,5%;10.030;10,6%;974;5,5%;356;6,9%;1.875;10,3%;1.859;15,9%;2.802;12,6%;2.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;44,2%;4.434;45,3%;441;47,8%;170;44,7%;838;42,9%;797;44,5%;1.247;43,5%;941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;55,8%;5.596;54,7%;533;52,2%;186;55,3%;1037;57,1%;1062;55,5%;1.555;56,5%;1.223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;7,5%;;6,8%;;3,2%;;4,7%;;7,6%;;12,0%;;9,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;11,9%;1193;7,6%;74;11,5%;41;13,6%;255;9,5%;176;12,4%;348;13,8%;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: VENEZUELA (% respecto total de población extranjera del distrito);8,0%;41.761;10,9%;1.093;12,2%;119;22,5%;80;11,8%;222;10,0%;185;9,4%;262;10,4%;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;2,9%;37.573;8,8%;3.300;5,8%;2.181;28,8%;10.815;19,1%;7.163;18,4%;6.899;19,2%;7.215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,50;;2,72;;2,92;;2,46;;2,47;;2,51;;2,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;12,9%;4.847;10,9%;361;3,6%;78;12,8%;1.380;13,5%;965;14,0%;964;15,2%;1.099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,3%;1.223;3,3%;109;1,5%;32;3,3%;356;3,2%;229;3,4%;235;3,6%;262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,8%;686;1,6%;53;3,0%;65;1,5%;166;1,9%;137;2,1%;145;1,7%;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;116;0,3%;11;0,6%;14;0,3%;31;0,3%;23;0,2%;16;0,3%;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;6,2;;5,5;;5,2;;5,9;;7,0;;6,3;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-1,9;;-4,2;;-1,0;;-2,1;;-1,6;;-1,3;;-1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,4;;85,7;;86,1;;87,9;;89,4;;86,3;;87,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;81,4;;80,3;;81,3;;81,5;;82,6;;80,9;;80,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;86,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;78,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;23,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;87%;36.755,0 €;97%;35.783,8 €;130%;47.612,4 €;116%;42.558,6 €;103%;37.694,3 €;81%;29.819,8 €;84%;30.745,2 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;18.335,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;104%;1.585,3 €;96%;1.515,8 €;96%;1.515,1 €;107%;1.690,1 €;105%;1.664,6 €;92%;1.452,7 €;94%;1.488,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;99%;1.140,4 €;96%;1.092,7 €;96%;1.099,3 €;108%;1.229,6 €;107%;1.218,9 €;90%;1.030,7 €;93%;1.061,9 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;3,0%;4.854;9,8%;474;7,8%;377;25,7%;1.249;19,6%;951;19,2%;934;16,7%;813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;8,38;;8,87;;7,97;;7,75;;9,18;;8,68;;8,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;7,35;;7,10;;6,70;;6,43;;8,39;;8,34;;7,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;3,91;;1,91;;3,79;;4,01;;5,94;;4,12;;2,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;6,50;;6,61;;7,85;;6,59;;7,15;;6,08;;5,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;9,18;;9,35;;7,36;;7,12;;10,36;;11,71;;9,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;9,30;;10,48;;9,12;;8,95;;9,88;;9,00;;9,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;4,00;;4,43;;4,91;;3,05;;6,37;;3,21;;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;9,11;;11,43;;10,89;;8,32;;10,34;;7,88;;8,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;10,89;;11,62;;9,96;;10,86;;10,52;;11,58;;10,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;54,8%;2.658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,8%;1.032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,2%;1.626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
