09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.653,11;;1.746,06;;75,75;;1.425,09;;139,75;;330,25;;352,82;;583,4;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;32,5%;9.204;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;36,6%;10.360;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;30,9%;8.749;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;5,8%;1.644;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;29,3%;482;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;13,4%;221;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;57,2%;941;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;2,8%;802;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;48,3%;387;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;29,3%;235;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;22,4%;180;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;2,6%;2.350;2,9%;307;1,8%;351;1,6%;202;4,5%;1.044;1,2%;47;1,6%;30;2,1%;369
Primaria incompleta;12,1%;301.397;7,9%;7.060;9,2%;968;5,7%;1.122;5,0%;631;13,4%;3.108;4,5%;182;4,8%;92;5,5%;957
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;17,4%;15.578;19,0%;1.995;15,0%;2.963;13,0%;1.622;26,4%;6.142;9,7%;392;11,6%;223;12,8%;2.241
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;17,8%;15.953;19,9%;2.092;17,4%;3.431;16,0%;2.004;20,4%;4.744;12,1%;491;17,2%;332;16,4%;2.859
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;11,1%;9.886;11,7%;1.227;11,4%;2.253;11,4%;1.426;9,8%;2.277;10,8%;440;11,0%;212;11,7%;2.051
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;42,9%;38.411;37,3%;3.921;48,3%;9.520;52,7%;6.592;25,3%;5.869;61,7%;2.507;53,8%;1.035;51,3%;8.967
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;199;0,2%;16;0,3%;53;0,3%;37;0,2%;49;0,0%;2;0,1%;1;0,2%;41
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;0,9%;35;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;62,9%;22;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;37,1%;13;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;22,8%;;;;;;;;;;;;;;;
