11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,3%;1.528;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;38,2%;584;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;0,2%;3;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;61,6%;941;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;6,3%;12.098;5,0%;911;5,3%;1.373;7,7%;2.314;6,1%;2.189;8,3%;2.183;5,0%;1.681;6,3%;1.447;;;;
Primaria incompleta;11,6%;291.746;15,9%;30.685;14,8%;2.705;15,3%;3.987;17,3%;5.213;17,2%;6.197;17,6%;4.613;12,4%;4.150;16,8%;3.820;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;35,9%;69.283;32,4%;5.906;35,5%;9.243;35,4%;10.682;37,5%;13.524;38,4%;10.058;33,6%;11.247;37,8%;8.623;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;19,7%;37.971;20,9%;3.812;19,7%;5.118;18,1%;5.453;19,5%;7.032;18,2%;4.773;22,3%;7.461;19,0%;4.322;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;7,9%;15.207;8,6%;1.572;8,2%;2.135;7,1%;2.152;7,3%;2.627;6,1%;1.603;10,2%;3.425;7,4%;1.693;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;14,2%;27.387;18,1%;3.289;15,9%;4.138;14,3%;4.312;12,3%;4.438;11,2%;2.937;16,3%;5.447;12,4%;2.826;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,2%;302;0,1%;24;0,1%;22;0,2%;61;0,2%;76;0,1%;22;0,1%;25;0,3%;72;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;192.933;1;18.219;1;26.016;1;30.187;1;36.083;1;26.189;1;33.436;1;22.803;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;14,1%;569;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;51,3%;292;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;48,7%;277;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,8%;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,8%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;63,1%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;68,9%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,4%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;39,7%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;18,5%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,5%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,9%;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,2%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;35,8%;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,1%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;8,4%;16.756;;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;48,2%;8.078;;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;51,8%;8.678;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;107,43;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;68,4;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;66,2;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;68,8;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;7,0;;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;6,3;;;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;7,0;;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,7;;;;;;;;;;;;;;;;;;
