05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;1,5%;1.681;1,3%;178;1,7%;511;1,9%;283;1,3%;308;1,0%;177;1,7%;224;;;
Primaria incompleta;11,6%;291.746;4,7%;5.340;3,4%;446;5,9%;1.766;6,1%;919;4,1%;1.016;3,0%;546;4,9%;647;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;13,9%;15.869;12,2%;1.618;16,5%;4.957;17,4%;2.616;12,4%;3.065;10,6%;1.957;12,6%;1.656;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;18,2%;20.908;16,7%;2.208;20,4%;6.111;19,5%;2.938;17,7%;4.359;16,1%;2.974;17,6%;2.318;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;11,1%;12.760;9,2%;1.218;12,3%;3.691;11,3%;1.699;11,2%;2.748;10,2%;1.878;11,6%;1.526;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;50,4%;57.689;56,8%;7.521;43,0%;12.911;43,5%;6.559;53,0%;13.064;58,9%;10.849;51,5%;6.785;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,3%;324;0,5%;61;0,3%;81;0,3%;48;0,3%;73;0,2%;34;0,2%;27;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;114.571;1;13.250;1;30.028;1;15.062;1;24.633;1;18.415;1;13.183;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;0,6%;26;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;57,7%;15;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;42,3%;11;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;25,4%;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;18,5%;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,2%;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;78,5%;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,3%;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;35,5%;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;14,6%;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;3,8%;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;8,7%;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;27,0%;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;34,8%;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;17,8%;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;3,3%;6.625;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;46,5%;3.078;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;53,5%;3.547;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;115,24;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;84,0;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;80,5;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;71,3;;;;;;;;;;;;;;;
