16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;12,3%;493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;52,1%;2.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;35,6%;1.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;3,6%;1.421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;42,4%;603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;12,1%;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;45,5%;646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;3,3%;4.776;0,8%;36;1,3%;133;4,2%;1.373;5,1%;2.137;4,9%;588;1,2%;509;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;8,8%;12.485;2,6%;120;3,1%;319;12,6%;4.068;13,5%;5.688;9,3%;1.120;2,8%;1.170;;;;;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;21,2%;30.234;10,0%;469;10,7%;1.115;24,9%;8.056;30,2%;12.687;26,6%;3.206;11,4%;4.701;;;;;;;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;20,0%;28.512;19,0%;892;17,2%;1.795;21,5%;6.975;21,0%;8.834;24,0%;2.891;17,3%;7.125;;;;;;;;;;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;11,1%;15.793;12,1%;568;10,9%;1.136;9,6%;3.092;8,8%;3.687;9,6%;1.153;15,0%;6.157;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;35,6%;50.750;55,5%;2.606;56,7%;5.899;27,1%;8.777;21,4%;8.980;25,4%;3.059;52,1%;21.429;;;;;;;;;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;102;0,1%;6;0,1%;10;0,1%;32;0,1%;27;0,1%;17;0,0%;10;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;142.652;1;4.697;1;10.407;1;32.373;1;42.040;1;12.034;1;41.101;;;;;;;;;;;;;;;;;;;;;;;;;;
