12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;65%;27.674,0 €;106%;29.430,4 €;99%;27.366,6 €;99%;27.478,4 €;101%;27.823,4 €;102%;28.148,6 €;100%;27.571,9 €;89%;24.711,3 €;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;11.877,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;84%;1.275,4 €;97%;1.237,1 €;88%;1.126,1 €;98%;1.253,9 €;101%;1.292,6 €;110%;1.399,7 €;103%;1.313,8 €;97%;1.237,8 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;83%;946,6 €;97%;922,4 €;90%;850,0 €;95%;895,7 €;101%;954,7 €;112%;1.062,4 €;101%;954,8 €;95%;897,1 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;5,8%;9.239;15,7%;1.452;13,1%;1.211;18,0%;1.665;14,7%;1.359;16,4%;1.519;9,4%;864;11,0%;1.015;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;9,49;;9,82;;12,32;;10,30;;8,81;;8,51;;8,99;;8,43;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;8,38;;8,19;;11,02;;8,81;;8,36;;7,50;;8,10;;7,42;;;;;;;;;;;;;
De 16 a 24 años;3,33;;5,09;;5,22;;6,28;;6,50;;4,67;;4,74;;3,65;;3,86;;;;;;;;;;;;;
De 25 a 44 años;5,45;;7,55;;7,49;;11,39;;8,32;;7,21;;5,91;;7,47;;6,76;;;;;;;;;;;;;
De 45 a 64 años;8,63;;10,36;;9,64;;12,53;;10,11;;10,89;;10,16;;10,44;;9,48;;;;;;;;;;;;;
