02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.442,2 €;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;978,2 €;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;4,1%;6.946;14,3%;993;22,3%;1.548;14,3%;995;9,6%;666;16,8%;1.169;17,9%;1.245;0,9%;62;
Tasa absoluta de paro registrado (agosto 2018);7,9%;;6,6%;;6,8%;;6,6%;;7,9%;;4,9%;;6,4%;;7,2%;;8,0%;;
Tasa absoluta de paro registrado MUJERES;8,6%;;7,4%;;7,6%;;7,3%;;8,5%;;6,2%;;7,1%;;7,7%;;9,7%;;
De 16 a 24 años;4,6%;;3,3%;;2,7%;;3,0%;;4,4%;;1,8%;;3,6%;;4,2%;;7,5%;;
De 25 a 44 años;8,3%;;7,2%;;6,9%;;7,6%;;8,0%;;6,1%;;6,6%;;7,2%;;13,9%;;
De 45 a 64 años;10,1%;;8,6%;;9,2%;;8,0%;;9,9%;;7,4%;;8,6%;;8,9%;;7,5%;;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;5,8%;;6,0%;;5,8%;;7,2%;;3,6%;;5,6%;;6,8%;;6,1%;;
De 16 a 24 años;4,5%;;2,9%;;4,0%;;2,4%;;3,4%;;1,1%;;3,5%;;3,4%;;3,5%;;
De 25 a 44 años;6,1%;;5,1%;;5,9%;;5,3%;;6,0%;;2,8%;;5,0%;;5,2%;;5,6%;;
De 45 a 64 años;9,1%;;7,5%;;6,7%;;7,3%;;9,7%;;5,0%;;6,9%;;9,6%;;7,3%;;
Parados de larga duración (agosto 2018);41,0%;68.898;38,5%;2.676;;;;;;;;;;;;;;;
Hombres;40,4%;27.816;38,4%;1.028;;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;61,6%;1.648;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;40,3%;2.798;;;;;;;;;;;;;;;
Hombres;47,0%;29.412;46,1%;1.289;;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,9%;1.509;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;59,7%;4.148;;;;;;;;;;;;;;;
Hombres;40,7%;42.906;39,6%;1.643;;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;60,4%;2.505;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;19.723;100%;2.793;100%;4.072;100%;2.132;100%;3.890;100%;4.034;100%;2.549;100%;253;
