06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;537,47;;71,52;;118,5;;70,47;;99,94;;116,34;;60,71;
De 16 a 24 años;4,5%;;4,2%;;3,8%;;2,5%;;2,4%;;8,6%;;3,6%;;4,4%;
De 25 a 44 años;6,1%;;5,2%;;5,6%;;4,1%;;4,5%;;7,8%;;5,4%;;4,6%;
De 45 a 64 años;9,1%;;10,3%;;10,1%;;8,6%;;8,1%;;13,5%;;10,7%;;10,8%;
Parados de larga duración (agosto 2018);41,0%;68.898;41,4%;3.343;;;;;;;;;;;;
Hombres;40,4%;27.816;42,6%;1.423;;;;;;;;;;;;
Mujeres ;59,6%;41.082;57,4%;1.920;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;37,2%;3.001;;;;;;;;;;;;
Hombres;47,0%;29.412;46,4%;1.391;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,6%;1.610;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;62,8%;5.066;;;;;;;;;;;;
Hombres;40,7%;42.906;42,1%;2.134;;;;;;;;;;;;
Mujeres ;59,3%;62.424;57,9%;2.932;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;18.709;100%;3.531;100%;3.758;100%;2.020;100%;2.761;100%;3.448;100%;3.191
0 a 2 años;18,8%;87.088;22,2%;4.156;21,8%;771;22,8%;855;25,2%;509;21,2%;586;22,4%;774;20,7%;661
Infantil (3 a 5 años);18,7%;86.699;18,6%;3.479;18,4%;650;19,0%;714;20,0%;405;16,3%;449;19,1%;657;18,9%;604
Primaria (6 a 11 años);38,2%;176.730;36,0%;6.726;35,9%;1.266;34,8%;1.307;35,2%;711;36,9%;1.019;36,4%;1.254;36,6%;1.169
Secundaria (12 a 15 años);24,3%;112.494;23,2%;4.348;23,9%;844;23,5%;882;19,6%;395;25,6%;707;22,1%;763;23,7%;757
Etapas educativas. Total niños;51,2%;237.098;51,2%;9.588;51,9%;1.832;52,2%;1.963;52,1%;1.052;50,6%;1.397;50,5%;1.742;50,2%;1.602
0 a 2 años;18,8%;44.551;22,0%;2.114;22,2%;406;22,9%;449;26,2%;276;20,9%;292;21,1%;368;20,2%;323
Infantil (3 a 5 años);18,8%;44.489;18,4%;1.764;18,2%;333;19,2%;376;19,3%;203;15,7%;219;19,1%;332;18,8%;301
Primaria (6 a 11 años);38,2%;90.647;36,4%;3.487;35,3%;646;34,5%;677;35,5%;373;37,6%;525;37,8%;659;37,9%;607
Secundaria (12 a 15 años);24,2%;57.411;23,2%;2.223;24,4%;447;23,5%;461;19,0%;200;25,8%;361;22,0%;383;23,2%;371
Etapas educativas. Total niñas;48,8%;225.913;48,8%;9.121;48,1%;1.699;47,8%;1.795;47,9%;968;49,4%;1.364;49,5%;1.706;49,8%;1.589
0 a 2 años;18,8%;42.537;22,4%;2.042;21,5%;365;22,6%;406;24,1%;233;21,6%;294;23,8%;406;21,3%;338
Infantil (3 a 5 años);18,7%;42.210;18,8%;1.715;18,7%;317;18,8%;338;20,9%;202;16,9%;230;19,1%;325;19,1%;303
Primaria (6 a 11 años);38,1%;86.083;35,5%;3.239;36,5%;620;35,1%;630;34,9%;338;36,2%;494;34,9%;595;35,4%;562
Secundaria (12 a 15 años);24,4%;55.083;23,3%;2.125;23,4%;397;23,5%;421;20,1%;195;25,4%;346;22,3%;380;24,3%;386
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;12.721;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;47,0%;5.973;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;14,7%;1.876;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;38,3%;4.872;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;20,3%;2.584;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;40,3%;1.042;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;3,5%;91;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;56,2%;1.451;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;5,7%;722;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;65,8%;475;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,4%;3;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;33,8%;244;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;4,2%;5.187;3,9%;880;2,5%;703;2,2%;375;7,1%;1.256;5,7%;1.149;4,3%;824
Primaria incompleta;12,1%;301.397;11,2%;14.030;11,9%;2.719;7,1%;1.999;7,0%;1.197;16,1%;2.851;13,8%;2.761;12,9%;2.503
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;26,9%;33.559;29,9%;6.826;19,8%;5.555;19,1%;3.245;29,7%;5.262;32,6%;6.542;31,7%;6.129
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;18,2%;22.756;18,7%;4.256;17,8%;4.997;18,1%;3.082;16,9%;2.990;18,5%;3.704;19,3%;3.727
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;9,4%;11.777;9,3%;2.118;10,5%;2.943;10,8%;1.841;8,1%;1.438;8,5%;1.707;8,9%;1.730
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;29,9%;37.387;26,2%;5.968;41,9%;11.722;42,5%;7.220;22,2%;3.930;20,7%;4.155;22,7%;4.392
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;217;0,2%;40;0,3%;86;0,2%;26;0,1%;11;0,1%;25;0,1%;29
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;6,2%;243;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;47,3%;115;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;52,7%;128;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,3%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,2%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;70,1%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;66,8%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,4%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;41,5%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;16,9%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;7,3%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;11,6%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;32,0%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;37,9%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
