19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;37,5%;1.704;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;46,8%;798;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;53,2%;906;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;62,5%;2.846;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;39,2%;1.117;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;60,8%;1.729;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100,0%;13.476;100,0%;5.239;100,0%;2.547;100,0%;5.312;100,0%;378;;;;;;;;
0 a 2 años;18,2%;84.692;13,0%;1.747;16,5%;866;11,6%;295;9,2%;491;25,1%;95;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;15,4%;2.080;17,5%;919;12,1%;308;14,6%;774;20,9%;79;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;43,4%;5.842;41,1%;2.154;36,0%;918;49,4%;2.626;38,1%;144;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;28,3%;3.807;24,8%;1.300;40,3%;1.026;26,8%;1.421;15,9%;60;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;50,8%;6.848;51,3%;2.687;50,9%;1.296;50,2%;2.667;52,4%;198;;;;;;;;
0 a 2 años;18,2%;43.261;13,3%;910;16,5%;443;11,7%;152;10,0%;266;24,7%;49;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;15,4%;1.052;17,2%;463;11,8%;153;14,5%;388;24,2%;48;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;43,8%;2.998;42,2%;1134;37,1%;481;49,1%;1309;37,4%;74;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;27,6%;1.888;24,1%;647;39,4%;510;26,4%;704;13,6%;27;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;49,2%;6.628;48,7%;2.552;49,1%;1.251;49,8%;2.645;47,6%;180;;;;;;;;
0 a 2 años;18,3%;41.431;12,6%;837;16,6%;423;11,4%;143;8,5%;225;25,6%;46;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;15,5%;1.028;17,9%;456;12,4%;155;14,6%;386;17,2%;31;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;42,9%;2.844;40,0%;1020;34,9%;437;49,8%;1317;38,9%;70;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;29,0%;1.919;25,6%;653;41,2%;516;27,1%;717;18,3%;33;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;12.131;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;28,5%;3.453;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;4,9%;592;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;66,7%;8.086;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;10,2%;1.240;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;30,7%;381;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;0,3%;4;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;69,0%;855;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,9%;590;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;23,6%;139;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;0,0%;0;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;76,4%;451;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;7,3%;3.752;11,3%;2.999;4,6%;573;1,5%;171;0,8%;9;;;;;;;;
Primaria incompleta;11,6%;291.746;13,7%;7.064;20,0%;5.303;9,3%;1.145;4,8%;552;5,9%;64;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;32,8%;16.922;39,5%;10.472;27,2%;3.361;23,5%;2.721;33,8%;368;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;20,4%;10.530;15,6%;4.143;24,9%;3.077;26,1%;3.019;26,7%;291;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;9,2%;4.741;4,9%;1.295;11,2%;1.379;16,7%;1.938;11,8%;129;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;16,5%;8.508;8,6%;2.286;22,7%;2.806;27,5%;3.187;21,0%;229;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,0%;5;0,0%;4;0,0%;1;0,0%;0;0,0%;0;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;51.522;1;26.502;1;12.342;1;11.588;1;1.090;0;0;0;0;0;0;0;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;1,8%;72;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;52,8%;38;;;;;;;;;;;;;;;;
