09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;145%;57.423 €;96%;55.238 €;91%;52.003 €;107%;61.444 €;62%;35.550 €;153%;88.035 €;155%;89.015 €;119%;68.120 €;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;26.039,3 €;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;0,9%;244,1 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.561,9 € ;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 1.117,5 € ;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;2,5%;4.191;13,0%;546;18,7%;784;9,9%;413;32,0%;1.340;3,3%;137;1,4%;59;16,3%;683;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;5,4%;;6,7%;;5,2%;;4,3%;;7,4%;;3,3%;;3,6%;;4,0%;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;5,7%;;6,7%;;5,4%;;4,5%;;8,2%;;3,7%;;4,0%;;4,3%;;;
De 16 a 24 años;4,2%;;1,9%;;2,4%;;1,9%;;1,1%;;4,3%;;0,0%;;0,7%;;1,1%;;;
De 25 a 44 años;7,5%;;5,6%;;6,5%;;4,8%;;4,3%;;7,7%;;3,5%;;4,2%;;4,7%;;;
De 45 a 64 años;9,8%;;7,1%;;7,9%;;7,1%;;5,8%;;9,8%;;5,3%;;5,0%;;5,3%;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;5,0%;;6,7%;;5,0%;;4,1%;;6,5%;;2,9%;;3,1%;;3,7%;;;
De 16 a 24 años;4,4%;;2,2%;;2,9%;;2,5%;;1,2%;;4,6%;;0,7%;;0,0%;;1,0%;;;
De 25 a 44 años;6,0%;;4,3%;;4,7%;;4,2%;;3,5%;;6,0%;;2,5%;;3,4%;;3,0%;;;
De 45 a 64 años;8,9%;;6,7%;;9,6%;;6,5%;;5,8%;;7,9%;;4,0%;;4,0%;;5,5%;;;
Parados de larga duración (febrero 2020);38,2%;63.943;38,4%;1.608;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;41,3%;664;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;58,7%;944;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;48,3%;2.026;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;46,2%;936;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;53,8%;1.090;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;51,7%;2.165;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;41,8%;905;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;58,2%;1.260;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100,0%;17.338;100,0%;1.316;100,0%;2.396;100,0%;2.064;100,0%;3.722;100,0%;1.856;100,0%;556;100,0%;5.428;;
0 a 2 años;18,2%;84.692;17,0%;2.954;20,8%;274;20,8%;498;16,7%;345;19,4%;722;13,0%;242;16,7%;93;14,4%;780;;
Infantil (3 a 5 años);18,7%;86.684;18,1%;3.134;18,5%;244;21,1%;505;16,4%;338;19,3%;718;17,8%;331;13,5%;75;17,0%;923;;
Primaria (6 a 11 años);38,4%;178.445;38,1%;6.599;33,7%;443;34,9%;836;39,2%;809;37,2%;1.385;42,5%;789;40,6%;226;38,9%;2.111;;
Secundaria (12 a 15 años);24,7%;114.517;26,8%;4.651;27,0%;355;23,2%;557;27,7%;572;24,1%;897;26,6%;494;29,1%;162;29,7%;1.614;;
Etapas educativas. Total niños;51,2%;237557;51,5%;8.923;49,8%;656;51,5%;1.234;50,3%;1.039;52,5%;1.955;51,1%;949;49,8%;277;51,8%;2.813;;
0 a 2 años;18,2%;43.261;17,1%;1.523;21,0%;138;20,6%;254;17,4%;181;19,5%;382;12,1%;115;15,9%;44;7,5%;409;;
Infantil (3 a 5 años);18,7%;44.354;18,0%;1.602;18,0%;118;22,7%;280;14,8%;154;19,2%;375;19,1%;181;12,3%;34;8,5%;460;;
Primaria (6 a 11 años);38,5%;91.575;38,0%;3.388;33,7%;221;34,8%;429;38,4%;399;37,1%;725;44,5%;422;42,2%;117;19,8%;1075;;
Secundaria (12 a 15 años);24,6%;58.367;27,0%;2.410;27,3%;179;22,0%;271;29,4%;305;24,2%;473;24,3%;231;29,6%;82;16,0%;869;;
Etapas educativas. Total niñas;48,8%;226.781;48,5%;8.415;50,2%;660;48,5%;1.162;49,7%;1.025;47,5%;1.767;48,9%;907;50,2%;279;48,2%;2.615;;
0 a 2 años;18,3%;41.431;17,0%;1.431;20,6%;136;21,0%;244;16,0%;164;19,2%;340;14,0%;127;17,6%;49;14,2%;371;;
Infantil (3 a 5 años);18,7%;42.330;18,2%;1.532;19,1%;126;19,4%;225;18,0%;184;19,4%;343;16,5%;150;14,7%;41;17,7%;463;;
Primaria (6 a 11 años);38,3%;86.870;38,2%;3.211;33,6%;222;35,0%;407;40,0%;410;37,4%;660;40,5%;367;39,1%;109;39,6%;1036;;
Secundaria (12 a 15 años);24,8%;56.150;26,6%;2.241;26,7%;176;24,6%;286;26,0%;267;24,0%;424;29,0%;263;28,7%;80;28,5%;745;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;28.966;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;31,6%;9.147;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;37,6%;10.895;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;30,8%;8.924;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;5,9%;1.710;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;26,3%;450;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;17,5%;299;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;56,2%;961;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;2,7%;773;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;47,9%;370;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;28,3%;219;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;23,8%;184;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;2,5%;2.229;2,8%;295;1,6%;319;1,5%;188;4,2%;979;1,2%;51;1,5%;30;2,0%;367;;
Primaria incompleta;11,6%;291.746;7,5%;6.759;8,7%;923;5,2%;1.033;4,8%;601;12,8%;3.005;4,5%;187;4,3%;84;5,1%;926;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;17,3%;15.641;18,7%;1.990;14,8%;2.923;12,7%;1.593;26,5%;6.214;9,1%;380;11,9%;235;12,8%;2.306;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;17,7%;16.000;19,5%;2.077;17,0%;3.362;16,0%;2.020;20,4%;4.799;11,8%;494;16,8%;331;16,2%;2.917;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;10,8%;9.824;11,6%;1.230;11,1%;2.192;11,3%;1.428;9,6%;2.260;10,4%;435;10,8%;213;11,5%;2.066;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;44,1%;39.939;38,6%;4.102;49,9%;9.848;53,4%;6.724;26,3%;6.184;62,9%;2.631;54,8%;1.082;52,1%;9.368;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,2%;185;0,1%;14;0,3%;51;0,3%;32;0,2%;44;0,0%;2;0,1%;1;0,2%;41;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;90.577;1;10.631;1;19.728;1;12.586;1;23.485;1;4.180;1;1.976;1;17.991;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;1,3%;53;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;54,7%;29;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;45,3%;24;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;22,8%;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;17,5%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,2%;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;78,3%;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,5%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;35,3%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;16,7%;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;4,5%;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;6,1%;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;28,4%;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;45,8%;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;19,4%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;11,5%;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;3,0%;5.992;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;47,2%;2.828;;;;;;;;;;;;;;;;
