17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;51,9%;2.094;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;62,4%;6.692;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;36,8%;2.461;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;63,2%;4.231;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;24.755;100,0%;7.280;100,0%;3.160;100,0%;4.847;100,0%;5.408;100,0%;4.060;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,4%;4.062;17,0%;1.234;18,5%;584;13,7%;663;15,7%;849;18,0%;732;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;17,9%;4.422;18,3%;1.331;19,7%;622;16,3%;789;16,8%;910;19,0%;770;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;38,1%;9.432;38,0%;2.763;37,6%;1.189;40,8%;1.977;37,6%;2.036;36,1%;1.467;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;27,6%;6.839;26,8%;1.952;24,2%;765;29,3%;1.418;29,8%;1.613;26,9%;1.091;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,5%;12.742;50,6%;3.684;51,9%;1.641;51,7%;2.507;51,9%;2.808;51,8%;2.102;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;15,9%;2.024;15,9%;585;17,8%;292;13,2%;332;15,5%;435;18,1%;380;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;18,0%;2.289;18,8%;692;20,3%;333;15,8%;395;17,0%;478;18,6%;391;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;38,3%;4.879;37,7%;1.390;38,9%;639;41,8%;1.049;37,2%;1.044;36,0%;757;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;27,9%;3.550;27,6%;1.017;23,0%;377;29,2%;731;30,3%;851;27,3%;574;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,5%;12.013;49,4%;3.596;48,1%;1.519;48,3%;2.340;48,1%;2.600;48,2%;1.958;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;17,0%;2.038;18,0%;649;19,2%;292;14,1%;331;15,9%;414;18,0%;352;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;17,8%;2.133;17,8%;639;19,0%;289;16,8%;394;16,6%;432;19,4%;379;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;37,9%;4.553;38,2%;1.373;36,2%;550;39,7%;928;38,2%;992;36,3%;710;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;27,4%;3.289;26,0%;935;25,5%;388;29,4%;687;29,3%;762;26,4%;517;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;24.450;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;30,3%;7.403;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;5,2%;1.270;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;64,5%;15.777;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;18,6%;4.543;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;29,9%;1.358;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;1,1%;49;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;69,0%;3.136;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;5,1%;1.259;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;17,2%;216;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;0,1%;1;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;82,8%;1.042;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;7,9%;9.047;9,7%;3.368;9,6%;1.136;4,7%;657;7,6%;2.137;6,8%;1.749;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;16,0%;18.333;16,9%;5.882;18,6%;2.213;9,5%;1.337;15,5%;4.368;17,5%;4.533;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;39,7%;45.556;40,8%;14.159;47,6%;5.650;37,3%;5.239;39,2%;11.066;36,5%;9.442;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;19,5%;22.346;18,3%;6.341;15,2%;1.802;23,3%;3.276;20,2%;5.700;20,2%;5.227;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;6,0%;6.855;4,9%;1.714;3,1%;367;9,5%;1.334;6,2%;1.756;6,5%;1.684;;;;;;;;;;;;;;;;
