03. RETIRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;RETIRO;;Pacífico;;Adelfas;;La Estrella;;Ibiza;;Los Jerónimos;;Niño Jesús;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;546,62;;75,83;;64,08;;102,55;;49,2;;190,64;;64,33;
De 45 a 64 años;9,1%;;6,7%;;7,1%;;8,0%;;6,0%;;7,1%;;5,2%;;5,3%;
Parados de larga duración (agosto 2018);41,0%;68.898;39,3%;1.650;;;;;;;;;;;;
Hombres;40,4%;27.816;40,3%;665;;;;;;;;;;;;
Mujeres ;59,6%;41.082;59,7%;985;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;42,0%;1.763;;;;;;;;;;;;
Hombres;47,0%;29.412;45,0%;793;;;;;;;;;;;;
Mujeres ;53,0%;33.129;55,0%;970;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;58,0%;2.437;;;;;;;;;;;;
Hombres;40,7%;42.906;41,0%;999;;;;;;;;;;;;
Mujeres ;59,3%;62.424;59,0%;1.438;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;15.010;100,0%;3.675;100,0%;2.511;100,0%;3.045;100,0%;2.662;100,0%;849;100,0%;2.268
0 a 2 años;18,8%;87.088;19,7%;2.961;20,3%;747;20,3%;509;17,1%;522;21,5%;571;24,9%;211;17,7%;401
Infantil (3 a 5 años);18,7%;86.699;20,0%;2.995;19,7%;723;18,8%;473;20,0%;608;20,5%;545;21,7%;184;20,4%;462
Primaria (6 a 11 años);38,2%;176.730;36,6%;5.497;35,3%;1.298;35,9%;902;38,1%;1.161;36,4%;969;34,3%;291;38,6%;876
Secundaria (12 a 15 años);24,3%;112.494;23,7%;3.557;24,7%;907;25,0%;627;24,8%;754;21,7%;577;19,2%;163;23,3%;529
Etapas educativas. Total niños;51,2%;237.098;50,2%;7.541;48,6%;1.785;49,9%;1.252;52,2%;1.589;49,5%;1.318;51,1%;434;51,3%;1.163
0 a 2 años;18,8%;44.551;19,6%;1.481;20,6%;368;21,0%;263;17,9%;285;19,7%;259;25,3%;110;16,9%;196
Infantil (3 a 5 años);18,8%;44.489;20,0%;1.507;19,9%;356;17,7%;221;19,6%;312;21,3%;281;22,1%;96;20,7%;241
Primaria (6 a 11 años);38,2%;90.647;36,6%;2.762;34,5%;615;36,3%;455;38,1%;606;37,6%;496;32,7%;142;38,5%;448
Secundaria (12 a 15 años);24,2%;57.411;23,8%;1.791;25,0%;446;25,0%;313;24,3%;386;21,4%;282;19,8%;86;23,9%;278
Etapas educativas. Total niñas;48,8%;225.913;49,8%;7.469;51,4%;1.890;50,1%;1.259;47,8%;1.456;50,5%;1.344;48,9%;415;48,7%;1.105
0 a 2 años;18,8%;42.537;19,8%;1.480;20,1%;379;19,5%;246;16,3%;237;23,2%;312;24,3%;101;18,6%;205
Infantil (3 a 5 años);18,7%;42.210;19,9%;1.488;19,4%;367;20,0%;252;20,3%;296;19,6%;264;21,2%;88;20,0%;221
