15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;6,3%;10.530;24,2%;2.548;30,7%;3.233;12,4%;1.307;9,5%;1.000;7,7%;816;3,8%;395;2,2%;228;0,4%;37;7,0%;732
Tasa absoluta de paro registrado (agosto 2018);7,9%;;7,6%;;8,4%;;8,2%;;8,2%;;7,7%;;7,5%;;5,2%;;5,9%;;4,0%;;5,4%;
Tasa absoluta de paro registrado MUJERES;8,6%;;8,3%;;9,1%;;8,8%;;9,0%;;8,8%;;8,0%;;5,8%;;6,7%;;4,5%;;6,0%;
De 16 a 24 años;4,6%;;3,8%;;4,0%;;5,5%;;4,2%;;5,1%;;2,7%;;1,5%;;1,6%;;4,2%;;1,0%;
De 25 a 44 años;8,3%;;7,7%;;8,0%;;8,3%;;8,5%;;8,4%;;7,7%;;5,1%;;5,1%;;3,8%;;5,8%;
De 45 a 64 años;10,1%;;10,0%;;11,4%;;10,2%;;10,7%;;10,1%;;9,4%;;7,6%;;9,6%;;5,1%;;7,9%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;6,8%;;7,7%;;7,5%;;7,3%;;6,5%;;6,9%;;4,5%;;5,0%;;3,4%;;4,8%;
De 16 a 24 años;4,5%;;3,6%;;4,2%;;4,5%;;2,5%;;4,4%;;5,0%;;1,1%;;2,3%;;1,5%;;1,7%;
De 25 a 44 años;6,1%;;5,6%;;6,5%;;6,4%;;5,5%;;4,9%;;5,5%;;3,1%;;3,5%;;3,6%;;4,2%;
De 45 a 64 años;9,1%;;9,1%;;10,1%;;9,7%;;10,8%;;8,6%;;8,8%;;7,0%;;7,2%;;3,9%;;6,4%;
Parados de larga duración (agosto 2018);41,0%;68.898;40,3%;4.247;;;;;;;;;;;;;;;;;;
Hombres;40,4%;27.816;39,1%;1.659;;;;;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;60,9%;2.588;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;38,7%;4.080;;;;;;;;;;;;;;;;;;
Hombres;47,0%;29.412;45,2%;1.845;;;;;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;54,8%;2.235;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;61,3%;6.450;;;;;;;;;;;;;;;;;;
Hombres;40,7%;42.906;40,0%;2.583;;;;;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;60,0%;3.867;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;27.821;100,0%;5.607;100,0%;7.747;100,0%;2.838;100,0%;2.587;100,0%;2.263;100,0%;1.952;100,0%;968;100,0%;284;100,0%;3.575
0 a 2 años;18,8%;87.088;18,1%;5.036;19,5%;1.096;17,6%;1.366;19,7%;560;19,3%;498;17,5%;397;16,5%;323;19,6%;190;22,2%;63;15,2%;543
Infantil (3 a 5 años);18,7%;86.699;17,8%;4.943;16,9%;945;18,5%;1.435;19,4%;551;17,4%;450;18,3%;413;17,8%;348;16,6%;161;13,0%;37;16,9%;603
Primaria (6 a 11 años);38,2%;176.730;37,6%;10.457;37,0%;2.075;37,7%;2.919;36,6%;1.040;38,7%;1000;38,8%;878;37,4%;730;39,4%;381;36,6%;104;37,2%;1.330
Secundaria (12 a 15 años);24,3%;112.494;26,5%;7.385;26,6%;1.491;26,2%;2.027;24,2%;687;24,7%;639;25,4%;575;28,2%;551;24,4%;236;28,2%;80;30,7%;1.099
Etapas educativas. Total niños;51,2%;237.098;51,2%;14.245;50,6%;2.836;51,8%;4.016;50,7%;1.439;51,5%;1.332;51,3%;1.160;50,7%;990;49,1%;475;48,9%;139;52,0%;1.858
0 a 2 años;18,8%;44.551;18,5%;2.636;19,4%;550;18,6%;745;19,7%;283;20,1%;268;19,3%;224;16,7%;165;19,4%;92;21,6%;30;15,0%;279
Infantil (3 a 5 años);18,8%;44.489;17,7%;2.523;17,0%;483;17,8%;714;19,5%;281;16,8%;224;18,8%;218;17,8%;176;15,8%;75;14,4%;20;17,9%;332
Primaria (6 a 11 años);38,2%;90.647;37,2%;5.298;38,0%;1.077;37,5%;1.506;36,1%;520;37,2%;496;38,1%;442;34,8%;345;40,4%;192;37,4%;52;36,0%;668
Secundaria (12 a 15 años);24,2%;57.411;26,6%;3.788;25,6%;726;26,2%;1.051;24,7%;355;25,8%;344;23,8%;276;30,7%;304;24,4%;116;26,6%;37;31,2%;579
Etapas educativas. Total niñas;48,8%;225.913;48,8%;13.576;49,4%;2.771;48,2%;3.731;49,3%;1.399;48,5%;1.255;48,7%;1.103;49,3%;962;50,9%;493;51,1%;145;48,0%;1.717
0 a 2 años;18,8%;42.537;17,7%;2.400;19,7%;546;16,6%;621;19,8%;277;18,3%;230;15,7%;173;16,4%;158;19,9%;98;22,8%;33;15,4%;264
Infantil (3 a 5 años);18,7%;42.210;17,8%;2.420;16,7%;462;19,3%;721;19,3%;270;18,0%;226;17,7%;195;17,9%;172;17,4%;86;11,7%;17;15,8%;271
Primaria (6 a 11 años);38,1%;86.083;38,0%;5.159;36,0%;998;37,9%;1.413;37,2%;520;40,2%;504;39,5%;436;40,0%;385;38,3%;189;35,9%;52;38,6%;662
Secundaria (12 a 15 años);24,4%;55.083;26,5%;3.597;27,6%;765;26,2%;976;23,7%;332;23,5%;295;27,1%;299;25,7%;247;24,3%;120;29,7%;43;30,3%;520
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;31.242;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;51,4%;16.074;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;25,2%;7.862;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;23,4%;7.306;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;10,2%;3.179;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;48,6%;1.546;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;7,0%;222;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;44,4%;1.411;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;4,4%;1.385;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;66,7%;924;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;5,7%;79;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;27,6%;382;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;4,6%;7.819;5,7%;2.182;6,1%;2.956;4,5%;884;3,2%;527;4,7%;681;1,8%;166;2,2%;105;0,9%;10;1,9%;308
Primaria incompleta;12,1%;301.397;12,5%;20.991;15,7%;6.034;15,8%;7.624;13,0%;2.545;10,6%;1.762;11,1%;1.597;5,7%;529;5,1%;248;3,0%;34;3,8%;618
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;27,6%;46.485;33,1%;12.704;33,8%;16.318;30,6%;6.003;25,7%;4.292;22,0%;3.162;13,7%;1.270;14,3%;693;14,2%;161;11,7%;1.882
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;20,2%;33.983;20,4%;7.826;20,3%;9.787;20,9%;4.104;21,7%;3.629;20,1%;2.888;18,5%;1.711;18,3%;886;19,6%;222;18,2%;2.930
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;10,0%;16.921;8,6%;3.280;8,6%;4.158;10,1%;1.981;11,3%;1.894;11,3%;1.622;11,9%;1.100;14,0%;679;13,1%;148;12,8%;2.059
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;25,0%;42.066;16,3%;6.233;15,2%;7.328;20,7%;4.056;27,2%;4.542;30,7%;4.413;48,2%;4.469;45,9%;2.224;48,9%;554;51,3%;8.247
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;322;0,2%;82;0,1%;51;0,2%;41;0,3%;54;0,2%;23;0,2%;19;0,2%;9;0,4%;5;0,2%;38
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;2,9%;115;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;56,5%;65;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;43,5%;50;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,2%;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;14,1%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;66,8%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;72,9%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,2%;;;;;;;;;;;;;;;;;;;
