08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;23.783,84;;18.758,3;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;
Etapas educativas. Total niños;51,2%;237.098;51,5%;22.367;50,6%;206;49,3%;268;51,9%;3.028;52,3%;2.615;51,6%;1.899;51,5%;7.771;50,9%;3.518;51,3%;3.062
0 a 2 años;18,8%;44.551;19,5%;4.367;18,4%;38;14,2%;38;18,2%;551;21,1%;552;20,5%;390;20,3%;1.580;17,8%;626;19,3%;592
Infantil (3 a 5 años);18,8%;44.489;20,9%;4.667;19,9%;41;16,4%;44;19,8%;600;18,5%;484;20,9%;396;22,0%;1.707;18,1%;636;24,8%;759
Primaria (6 a 11 años);38,2%;90.647;39,4%;8.815;39,8%;82;42,9%;115;36,9%;1.118;37,9%;992;36,7%;697;41,1%;3.190;39,3%;1.382;40,5%;1.239
Secundaria (12 a 15 años);24,2%;57.411;20,2%;4.518;21,8%;45;26,5%;71;25,1%;759;22,4%;587;21,9%;416;16,7%;1.294;24,8%;874;15,4%;472
Etapas educativas. Total niñas;48,8%;225.913;48,5%;21.087;49,4%;201;50,7%;276;48,1%;2.811;47,7%;2.389;48,4%;1.780;48,5%;7.328;49,1%;3.391;48,7%;2.911
0 a 2 años;18,8%;42.537;19,4%;4.088;24,4%;49;13,0%;36;18,2%;511;21,6%;516;21,3%;380;19,1%;1.402;18,8%;638;19,1%;556
Infantil (3 a 5 años);18,7%;42.210;20,8%;4.393;18,4%;37;19,9%;55;19,5%;547;18,8%;450;21,1%;376;21,9%;1.602;19,3%;653;23,1%;673
Primaria (6 a 11 años);38,1%;86.083;38,8%;8.190;34,8%;70;37,3%;103;38,3%;1.078;36,1%;862;36,5%;650;40,4%;2.958;37,4%;1.267;41,3%;1.202
Secundaria (12 a 15 años);24,4%;55.083;20,9%;4.416;22,4%;45;29,7%;82;24,0%;675;23,5%;561;21,0%;374;18,6%;1.366;24,6%;833;16,5%;480
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;46.255;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;40,5%;18.752;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;21,5%;9.944;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;38,0%;17.559;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;5,6%;2.599;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;27,1%;704;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;6,8%;177;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;66,1%;1.718;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;3,8%;1.735;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;55,3%;959;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;4,7%;81;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;40,1%;695;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;3,8%;6.915;5,8%;165;1,5%;35;4,6%;1.605;5,7%;2.163;1,8%;512;4,1%;1.733;1,9%;410;2,7%;292
Primaria incompleta;12,1%;301.397;9,3%;16.808;14,9%;421;4,0%;93;10,8%;3.780;14,5%;5.538;7,0%;1.949;8,6%;3.664;4,0%;854;4,6%;509
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;21,0%;37.931;30,8%;870;11,7%;275;24,0%;8.399;28,4%;10.840;17,2%;4.769;21,3%;9.039;11,8%;2.537;10,9%;1.202
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;18,7%;33.825;23,8%;672;17,2%;403;19,8%;6.932;19,2%;7.339;20,1%;5.565;17,7%;7.508;17,6%;3.776;14,8%;1.630
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;11,8%;21.278;8,5%;239;9,8%;231;11,3%;3.934;9,8%;3.742;13,6%;3.780;12,2%;5.163;12,0%;2.582;14,6%;1.607
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;35,4%;64.029;16,2%;456;55,7%;1.308;29,4%;10.259;22,2%;8.474;40,2%;11.139;36,1%;15.341;52,6%;11.281;52,4%;5.771
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;143;0,0%;0;0,1%;3;0,1%;19;0,1%;42;0,1%;22;0,1%;32;0,1%;23;0,0%;2
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;;;
