21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;1,0%;1.744;31,3%;545;5,5%;96;21,8%;381;27,1%;472;11,4%;199;;
Tasa absoluta de paro registrado (agosto 2018);7,9%;;5,6%;;5,0%;;7,8%;;7,6%;;5,8%;;4,2%;;;
Tasa absoluta de paro registrado MUJERES;8,6%;;6,6%;;5,8%;;9,5%;;8,5%;;6,9%;;5,0%;;;
De 16 a 24 años;4,6%;;1,4%;;1,0%;;1,5%;;2,8%;;1,6%;;1,0%;;;
De 25 a 44 años;8,3%;;6,4%;;5,7%;;9,4%;;7,5%;;7,1%;;4,4%;;;
De 45 a 64 años;10,1%;;8,1%;;7,2%;;11,9%;;11,2%;;8,1%;;6,5%;;;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;4,6%;;4,1%;;6,3%;;6,5%;;4,6%;;3,4%;;;
De 16 a 24 años;4,5%;;2,0%;;1,2%;;3,7%;;4,1%;;2,4%;;0,9%;;;
De 25 a 44 años;6,1%;;4,1%;;3,7%;;6,4%;;5,2%;;3,9%;;2,9%;;;
De 45 a 64 años;9,1%;;6,0%;;5,4%;;7,1%;;8,9%;;6,2%;;4,4%;;;
Parados de larga duración (agosto 2018);41,0%;68.898;41,2%;719;;;;;;;;;;;;
Hombres;40,4%;27.816;34,9%;251;;;;;;;;;;;;
Mujeres ;59,6%;41.082;65,1%;468;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;40,8%;712;;;;;;;;;;;;
Hombres;47,0%;29.412;45,9%;327;;;;;;;;;;;;
Mujeres ;53,0%;33.129;54,1%;385;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;59,2%;1.032;;;;;;;;;;;;
Hombres;40,7%;42.906;35,9%;370;;;;;;;;;;;;
Mujeres ;59,3%;62.424;64,1%;662;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;8.832;100,0%;3.304;100,0%;271;100,0%;851;100,0%;2.462;100,0%;1.944;;
0 a 2 años;18,8%;87.088;17,9%;1.583;16,0%;527;21,0%;57;21,5%;183;22,7%;560;13,2%;256;;
Infantil (3 a 5 años);18,7%;86.699;19,0%;1.675;18,5%;611;18,5%;50;20,2%;172;21,0%;518;16,7%;324;;
Primaria (6 a 11 años);38,2%;176.730;38,5%;3.397;39,8%;1.316;37,3%;101;35,0%;298;35,6%;876;41,5%;806;;
Secundaria (12 a 15 años);24,3%;112.494;24,6%;2.177;25,7%;850;23,2%;63;23,3%;198;20,6%;508;28,7%;558;;
Etapas educativas. Total niños;51,2%;237.098;52,3%;4.617;53,6%;1.771;55,0%;149;52,1%;443;51,0%;1.255;51,4%;999;;
0 a 2 años;18,8%;44.551;17,3%;797;14,9%;263;17,4%;26;21,4%;95;22,6%;284;12,9%;129;;
Infantil (3 a 5 años);18,8%;44.489;19,4%;897;19,7%;349;18,1%;27;18,7%;83;20,9%;262;17,6%;176;;
Primaria (6 a 11 años);38,2%;90.647;38,3%;1.768;39,9%;707;37,6%;56;36,1%;160;35,0%;439;40,6%;406;;
Secundaria (12 a 15 años);24,2%;57.411;25,0%;1.155;25,5%;452;26,8%;40;23,7%;105;21,5%;270;28,8%;288;;
Etapas educativas. Total niñas;48,8%;225.913;47,7%;4.215;46,4%;1.533;45,0%;122;47,9%;408;49,0%;1.207;48,6%;945;;
0 a 2 años;18,8%;42.537;18,6%;786;17,2%;264;25,4%;31;21,6%;88;22,9%;276;13,4%;127;;
Infantil (3 a 5 años);18,7%;42.210;18,5%;778;17,1%;262;18,9%;23;21,8%;89;21,2%;256;15,7%;148;;
Primaria (6 a 11 años);38,1%;86.083;38,6%;1.629;39,7%;609;36,9%;45;33,8%;138;36,2%;437;42,3%;400;;
Secundaria (12 a 15 años);24,4%;55.083;24,2%;1022;26,0%;398;18,9%;23;22,8%;93;19,7%;238;28,6%;270;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;8.975;;;;;;;;;;;;
