12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;
Primaria (6 a 11 años);38,2%;176.730;39,1%;8.492;43,2%;1.745;36,1%;840;41,5%;1.829;37,7%;1.192;36,9%;1.238;37,4%;717;36,9%;931
Secundaria (12 a 15 años);24,3%;112.494;25,8%;5.595;25,0%;1013;26,8%;623;27,8%;1.223;24,6%;777;25,2%;845;27,0%;517;23,7%;597
Etapas educativas. Total niños;51,2%;237.098;51,2%;11.121;51,2%;2.069;52,1%;1.213;50,4%;2.218;51,3%;1.620;51,7%;1.734;49,9%;956;52,0%;1.311
0 a 2 años;18,8%;44.551;17,4%;1.933;14,6%;303;18,5%;224;14,2%;314;18,9%;306;19,4%;336;17,8%;170;21,4%;280
Infantil (3 a 5 años);18,8%;44.489;17,5%;1.950;17,1%;353;18,3%;222;16,8%;373;18,6%;302;17,8%;309;17,6%;168;17,0%;223
Primaria (6 a 11 años);38,2%;90.647;39,1%;4.352;42,8%;886;36,6%;444;41,2%;914;36,7%;595;37,2%;645;39,4%;377;37,5%;491
Secundaria (12 a 15 años);24,2%;57.411;26,0%;2.886;25,5%;527;26,6%;323;27,8%;617;25,7%;417;25,6%;444;25,2%;241;24,2%;317
Etapas educativas. Total niñas;48,8%;225.913;48,8%;10.603;48,8%;1.975;47,9%;1.113;49,6%;2.187;48,7%;1.538;48,3%;1.620;50,1%;960;48,0%;1.210
0 a 2 años;18,8%;42.537;17,4%;1.841;15,6%;309;19,3%;215;13,8%;302;18,9%;291;20,1%;325;17,0%;163;19,5%;236
Infantil (3 a 5 años);18,7%;42.210;18,0%;1.913;16,3%;321;18,1%;202;16,6%;364;18,9%;290;18,6%;301;18,9%;181;21,0%;254
Primaria (6 a 11 años);38,1%;86.083;39,0%;4.140;43,5%;859;35,6%;396;41,8%;915;38,8%;597;36,6%;593;35,4%;340;36,4%;440
Secundaria (12 a 15 años);24,4%;55.083;25,5%;2.709;24,6%;486;27,0%;300;27,7%;606;23,4%;360;24,8%;401;28,8%;276;23,1%;280
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;22.098;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;48,3%;10.675;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;3,1%;680;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;48,6%;10.743;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;16,5%;3.640;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;36,7%;1.335;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;1,7%;62;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;61,6%;2.243;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;6,8%;1.511;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;54,7%;827;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,3%;4;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;45,0%;680;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;8,9%;9.057;12,7%;2.114;14,1%;1.384;8,6%;1.421;7,2%;1.138;5,4%;1.075;8,2%;851;8,2%;1.074
Primaria incompleta;12,1%;301.397;19,5%;19.979;19,2%;3.196;19,5%;1.919;18,1%;2.990;19,6%;3.099;18,4%;3.693;19,8%;2.058;23,2%;3.024
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;39,3%;40.178;36,8%;6.131;38,2%;3.749;38,6%;6.370;39,4%;6.217;39,1%;7.838;41,4%;4.292;42,7%;5.581
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;16,6%;16.928;16,9%;2.814;12,7%;1.250;17,7%;2.923;16,7%;2.640;18,2%;3.651;16,7%;1.733;14,7%;1.917
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;6,1%;6.218;6,0%;997;5,8%;566;6,8%;1.122;6,5%;1.033;7,1%;1.431;4,9%;512;4,3%;557
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;9,6%;9.776;8,3%;1.377;9,6%;945;10,0%;1.653;10,5%;1.650;11,7%;2.338;8,9%;919;6,8%;894
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;70;0,1%;18;0,1%;5;0,0%;4;0,1%;8;0,1%;18;0,1%;6;0,1%;11
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;7,8%;306;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;54,9%;168;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;45,1%;138;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;34,4%;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,7%;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,5%;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
