06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;21.324,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;0,0%;3,6 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.395,6 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 971,4 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;4,9%;8.193;17,6%;1.443;15,3%;1.254;8,9%;731;19,9%;1.632;18,2%;1.493;16,7%;1.367;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;7,3%;;7,1%;;5,5%;;5,4%;;10,6%;;8,0%;;7,7%;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;7,6%;;7,4%;;5,9%;;5,7%;;11,3%;;8,3%;;7,9%;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;4,2%;;4,2%;;4,1%;;2,3%;;1,7%;;8,9%;;4,3%;;4,0%;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,5%;;6,5%;;6,3%;;4,8%;;4,5%;;9,5%;;7,5%;;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;9,8%;;10,1%;;9,9%;;8,1%;;8,1%;;14,1%;;10,4%;;10,4%;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;6,9%;;6,8%;;5,0%;;5,1%;;9,9%;;7,6%;;7,4%;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;4,4%;;4,0%;;2,6%;;1,6%;;2,6%;;8,5%;;4,9%;;4,2%;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;6,0%;;5,3%;;5,5%;;3,9%;;4,0%;;7,1%;;6,1%;;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;
