05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;2,7%;4.296;7,4%;319;29,5%;1.269;16,4%;704;19,8%;852;13,0%;559;11,3%;484;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;4,72;;2,95;;5,72;;6,09;;4,54;;3,78;;4,55;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;4,17;;2,60;;5,16;;5,37;;3,97;;3,17;;4,13;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;1,18;;0,68;;2,11;;1,43;;0,95;;0,63;;1,24;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;3,04;;1,66;;3,51;;3,55;;2,97;;2,58;;3,34;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;6,32;;4,23;;7,98;;8,42;;5,86;;4,62;;6,10;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;5,19;;3,25;;6,22;;6,71;;5,04;;4,28;;4,93;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;0,93;;0,39;;1,57;;1,85;;0,59;;0,29;;1,21;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;3,93;;3,16;;4,23;;5,31;;3,63;;3,33;;3,65;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;7,57;;4,23;;9,36;;9,44;;7,42;;6,40;;7,32;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;52,4%;2.252;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,7%;871;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,3%;1.381;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;47,9%;2.059;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;43,1%;887;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;56,9%;1.172;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;52,1%;2.237;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;39,7%;889;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;60,3%;1.348;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;19.913;100%;2.416;100%;4.092;100%;2.287;100%;4.601;100%;4.202;100%;2.315;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;19,3%;3.847;19,0%;458;19,7%;806;21,0%;481;19,8%;913;18,1%;760;18,5%;429;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,8%;3.941;20,0%;483;20,8%;850;20,2%;462;19,6%;903;18,9%;794;19,4%;449;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;37,1%;7.378;37,6%;909;35,6%;1.458;35,2%;806;36,8%;1.693;38,8%;1.631;38,1%;881;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;23,8%;4.747;23,4%;566;23,9%;978;23,5%;538;23,7%;1.092;24,2%;1.017;24,0%;556;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,6%;10.078;50,8%;1.227;50,1%;2.049;51,5%;1.177;50,0%;2.302;50,8%;2.133;51,4%;1.190;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;19,4%;1.960;20,5%;251;19,0%;389;21,5%;253;20,1%;463;18,3%;391;17,9%;213;;;;;;;;;;;;;;;
