07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;467,92;;50,65;;57,82;;61,19;;93,79;;97,54;;106,92;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281;1,8%;2.360;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;1,5%;104;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;0,9%;141;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;1,1%;146;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;1,7%;127.013;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;2,8%;1.984;;;;;;;;;;;;
Hombres;;16.914;2,5%;418;;;;;;;;;;;;
Mujeres;;54.324;2,9%;1.566;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;3,3%;10.819;;;;;;;;;;;;
Hombres;;124.008;2,8%;3.430;;;;;;;;;;;;
Mujeres ;;201.916;3,7%;7.389;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;1,8%;136;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;2,0%;43;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;3,8%;52;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;0,0%;0;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;0,0%;0;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;0,0%;0;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;0,0%;0;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;0,0%;0;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;
Nº Total de viviendas (Censo Edificios y Viviendas 2011);100%;1.530.955;100%;79.780;;;;;;;;;;;;
Viviendas anteriores a 1980;69,4%;1.061.825;90,9%;72.490;;;;;;;;;;;;
Estado ruinoso;0,2%;3.445;0,0%;35;;;;;;;;;;;;
Estado malo;0,8%;12.705;0,5%;370;;;;;;;;;;;;
Estado deficiente;4,4%;66.775;2,9%;2.290;;;;;;;;;;;;
Estado bueno;92,8%;1.420.265;96,2%;76.720;;;;;;;;;;;;
No consta;1,8%;27.770;0,5%;365;;;;;;;;;;;;
