13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;77,0;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;21,6;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;16,6;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;63%;26.652,0 €;91%;24.123,9 €;87%;23.112,1 €;115%;30.752,5 €;108%;28.901,7 €;96%;25.564,5 €;100%;26.666,0 €;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;12.030,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;83%;1.255,7 €;93%;1.164,0 €;97%;1.214,5 €;111%;1.390,8 €;99%;1.243,2 €;99%;1.237,7 €;101%;1.272,8 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;80%;917,0 €;93%;848,4 €;97%;893,3 €;111%;1.016,8 €;97%;889,9 €;96%;883,1 €;105%;958,3 €;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;10,7%;17.206;17,1%;2.943;18,1%;3.114;15,4%;2.656;16,5%;2.842;12,2%;2.093;18,9%;3.255;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;10,55;;12,80;;10,15;;9,60;;9,93;;11,56;;10,11;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;9,61;;12,10;;9,09;;8,69;;8,82;;10,21;;9,41;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;5,92;;8,01;;4,61;;5,25;;6,64;;5,77;;5,55;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;8,39;;10,32;;7,48;;8,47;;7,63;;9,07;;8,17;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;12,12;;15,32;;12,61;;10,13;;10,59;;13,10;;12,06;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;11,44;;13,50;;11,16;;10,42;;10,99;;12,85;;10,78;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;6,00;;7,56;;5,57;;5,12;;5,97;;6,66;;5,78;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;11,48;;14,58;;10,70;;10,26;;10,97;;13,22;;10,60;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;13,05;;14,48;;13,56;;12,16;;12,39;;14,21;;12,42;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;53,9%;9.267;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;40,2%;3.728;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;59,8%;5.539;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;38,2%;6.572;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;51,2%;3.365;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;48,8%;3.207;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;61,8%;10.634;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;40,2%;4.271;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;59,8%;6.363;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;32.422;100%;5.012;100%;6.320;100%;5.096;100%;5.778;100%;3.994;100%;6.222;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;18,1%;5.876;17,7%;885;19,9%;1.256;15,9%;810;17,1%;990;18,3%;730;19,4%;1.205;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;18,5%;5.994;18,7%;937;19,7%;1.245;17,3%;882;18,1%;1.047;18,5%;738;18,4%;1.145;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;37,3%;12.100;37,9%;1.901;36,8%;2.328;36,9%;1.878;38,5%;2.224;36,9%;1.473;36,9%;2.296;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;26,1%;8.452;25,7%;1.289;23,6%;1.491;29,9%;1.526;26,3%;1.517;26,4%;1.053;25,3%;1.576;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,4%;16.654;52,1%;2.613;51,4%;3.249;50,5%;2.573;50,9%;2.942;52,1%;2.079;51,4%;3.198;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;18,1%;3.022;17,6%;461;19,8%;643;16,6%;428;17,3%;509;18,2%;379;18,8%;602;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;18,2%;3.025;18,6%;486;19,2%;624;16,8%;433;18,3%;539;18,1%;377;17,7%;566;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;37,4%;6.224;38,0%;992;36,8%;1.196;37,4%;962;38,4%;1.130;36,4%;757;37,1%;1.187;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;26,3%;4.383;25,8%;674;24,2%;786;29,1%;750;26,0%;764;27,2%;566;26,4%;843;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,6%;15.768;47,9%;2.399;48,6%;3.071;49,5%;2.523;49,1%;2.836;47,9%;1.915;48,6%;3.024;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;18,1%;2.854;17,7%;424;20,0%;613;15,1%;382;17,0%;481;18,3%;351;19,9%;603;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;18,8%;2.969;18,8%;451;20,2%;621;17,8%;449;17,9%;508;18,9%;361;19,1%;579;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;37,3%;5.876;37,9%;909;36,9%;1.132;36,3%;916;38,6%;1.094;37,4%;716;36,7%;1.109;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;25,8%;4.069;25,6%;615;23,0%;705;30,8%;776;26,6%;753;25,4%;487;24,2%;733;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;36.523;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;47,5%;17.361;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;5,0%;1.844;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;47,4%;17.318;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;17,6%;6.436;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;41,4%;2.663;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;1,7%;112;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;56,9%;3.661;;;;;;;;;;;;;;;;;;;;;;;;;;
