16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1675,8;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;4,7%;7.856;2,5%;197;4,5%;352;21,8%;1.710;34,2%;2.688;9,9%;781;24,4%;1.918;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;6,3%;;4,6%;;3,6%;;7,0%;;8,4%;;7,7%;;4,8%;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;7,0%;;5,6%;;4,0%;;7,8%;;9,0%;;8,0%;;5,7%;;;;;;;;;
De 16 a 24 años;4,2%;;2,7%;;0,8%;;0,6%;;3,1%;;4,2%;;3,6%;;2,1%;;;;;;;;;
De 25 a 44 años;7,5%;;6,3%;;3,9%;;3,9%;;6,8%;;8,2%;;7,6%;;5,0%;;;;;;;;;
De 45 a 64 años;9,8%;;9,0%;;8,3%;;5,3%;;9,7%;;10,9%;;9,7%;;7,7%;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;5,6%;;3,4%;;3,1%;;6,1%;;7,8%;;7,3%;;3,9%;;;;;;;;;
De 16 a 24 años;4,4%;;3,2%;;1,0%;;1,0%;;3,5%;;4,7%;;4,5%;;2,3%;;;;;;;;;
De 25 a 44 años;6,0%;;4,6%;;3,2%;;2,8%;;5,5%;;6,5%;;6,5%;;2,9%;;;;;;;;;
De 45 a 64 años;8,9%;;7,3%;;4,5%;;4,0%;;7,6%;;10,1%;;8,9%;;5,5%;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;37,8%;2.971;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;38,6%;1.146;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;61,4%;1.825;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;47,8%;3.757;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;46,9%;1762;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;53,1%;1.995;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;52,2%;4.099;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;38,4%;1.575;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;61,6%;2.524;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;33.480;100%;1.415;100%;2.743;100%;4.966;100%;6.591;100%;1.957;100%;15.808;;;;;;;;
0 a 2 años;18,2%;84.692;18,1%;6.074;12,9%;182;14,7%;403;17,2%;853;17,4%;1.146;15,7%;307;20,1%;3.183;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;19,3%;6.445;14,7%;208;17,2%;472;18,6%;926;18,4%;1.216;16,5%;323;20,9%;3.300;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;39,3%;13.174;41,1%;582;38,5%;1.057;38,4%;1.906;38,8%;2.557;37,5%;734;40,1%;6.338;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;23,3%;7.787;31,3%;443;29,6%;811;25,8%;1.281;25,4%;1.672;30,3%;593;18,9%;2.987;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;51,3%;17.159;53,6%;758;51,5%;1.412;51,8%;2.572;51,7%;3.407;49,1%;961;50,9%;8.049;;;;;;;;
0 a 2 años;18,2%;43.261;18,0%;3.092;11,6%;88;15,2%;215;17,2%;443;16,9%;575;16,6%;160;20,0%;1.611;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;18,9%;3.237;14,5%;110;16,4%;231;18,6%;478;18,2%;621;17,7%;170;20,2%;1.627;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;40,0%;6.857;42,6%;323;39,8%;562;38,7%;996;39,8%;1356;36,7%;353;40,6%;3.267;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;23,2%;3.973;31,3%;237;28,6%;404;25,5%;655;25,1%;855;28,9%;278;19,2%;1.544;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,7%;16.321;46,4%;657;48,5%;1.331;48,2%;2.394;48,3%;3.184;50,9%;996;49,1%;7.759;;;;;;;;
0 a 2 años;18,3%;41.431;18,3%;2.982;14,3%;94;14,1%;188;17,1%;410;17,9%;571;14,8%;147;20,3%;1.572;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;19,7%;3.208;14,9%;98;18,1%;241;18,7%;448;18,7%;595;15,4%;153;21,6%;1.673;;;;;;;;
