01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;
0 a 2 años;18,8%;44.551;23,1%;1.324;23,2%;222;22,3%;466;25,2%;101;23,9%;172;24,0%;311;20,4%;52
Infantil (3 a 5 años);18,8%;44.489;18,8%;1.075;18,9%;181;19,4%;406;16,5%;66;20,0%;144;17,7%;229;19,2%;49
Primaria (6 a 11 años);38,2%;90.647;36,3%;2.079;35,4%;339;37,7%;789;32,2%;129;34,9%;251;36,7%;476;37,3%;95
Secundaria (12 a 15 años);24,2%;57.411;21,8%;1.246;22,5%;216;20,7%;433;26,2%;105;21,1%;152;21,7%;281;23,1%;59
Etapas educativas. Total niñas;48,8%;225.913;49,0%;5.504;50,7%;984;48,2%;1.947;47,6%;364;49,9%;717;48,9%;1.241;49,6%;251
0 a 2 años;18,8%;42.537;22,5%;1.237;18,2%;179;23,1%;449;26,4%;96;24,1%;173;22,7%;282;23,1%;58
Infantil (3 a 5 años);18,7%;42.210;19,4%;1.067;19,1%;188;20,7%;403;20,6%;75;18,4%;132;17,1%;212;22,7%;57
Primaria (6 a 11 años);38,1%;86.083;35,9%;1.975;35,2%;346;36,0%;700;31,0%;113;34,7%;249;38,8%;481;34,3%;86
Secundaria (12 a 15 años);24,4%;55.083;22,3%;1.225;27,5%;271;20,3%;395;22,0%;80;22,7%;163;21,4%;266;19,9%;50
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;15.880;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;35,1%;5.580;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;11,4%;1.816;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;53,4%;8.484;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;16,3%;2.592;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;48,7%;1.263;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;5,9%;152;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;45,4%;1.177;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;5,0%;797;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;76,3%;608;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;1,4%;11;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;22,3%;178;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;3,3%;3.681;3,0%;572;4,9%;1.841;2,3%;213;1,8%;258;2,5%;657;2,3%;140
Primaria incompleta;12,1%;301.397;8,4%;9.491;7,8%;1.500;10,8%;4.080;6,9%;630;5,9%;833;7,6%;1.999;7,2%;449
