21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.192,28;;197,03;;2.962,61;;54,94;;509,45;;468,25;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;7,0;;;;;;;;;;;;;;;;
2º Conductas que ponen en riesgo la seguridad vial;;3,6;;4,4;;;;;;;;;;;;;;;;
3º Exceso de velocidad;;3,5;;4,4;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;17,5%;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;46,0%;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;40,5%;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;26,3%;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;77,5%;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0063;;0,0056;;0,0074;;0,0072;;0,0061;;0,0053;;0,007769454;;0,008791792;;0,00728669
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;6;;122;;60;;73;;103;;130;;54;;37;;73
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social HOMBRES;24,0%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social MUJERES;26,7%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. ESPAÑOLA (>16 años);21,9%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);14,4%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);66,1%;;;;;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;;;;;
1.9.1. Población en general (2019);;;;;;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;94.210 ;1,3%;1.187;;;;;;;;;;;;;;;;
