15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.142,57;;319,80;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;93%;39.425,0 €;77%;30.442,3 €;81%;32.027,8 €;81%;32.082,1 €;94%;37.233,3 €;112%;44.222,1 €;155%;61.278,0 €;143%;56.253 €;178%;69.982 €;179%;70.459 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;20.416,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;103%;1.568,5 €;92%;1.440,2 €;93%;1.466,4 €;93%;1.464,7 €;101%;1.578,4 €;106%;1.666,5 €;114%;1.789,6 €;117%;1.840,1 €;119%;1.862,9 €;125%; 1.965,4 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;102%;1.166,0 €;93%;1.080,3 €;90%;1.054,2 €;98%;1.144,7 €;104%;1.212,9 €;108%;1.264,8 €;117%;1.361,3 €;117%;1.367,4 €;108%;1.263,5 €;122%; 1.422,7 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;6,2%;9.969;24,3%;2.422;31,5%;3.141;11,9%;1.188;9,5%;950;7,4%;738;4,1%;404;2,2%;224;0,4%;35;6,6%;655;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;7,12;;7,78;;7,76;;7,38;;7,32;;7,07;;5,31;;5,81;;3,59;;4,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;6,47;;7,32;;7,10;;7,03;;6,49;;6,39;;4,85;;3,65;;3,64;;3,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;2,41;;2,75;;3,52;;2,93;;2,67;;0,78;;1,00;;0,79;;1,50;;0,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;5,05;;5,78;;5,48;;5,02;;5,21;;4,79;;3,38;;3,21;;3,76;;3,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;9,22;;10,37;;9,94;;10,56;;8,98;;9,50;;7,40;;4,92;;4,26;;5,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
