07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;82,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;128,4%;50.882 €;90%;45.821 €;84%;42.935 €;84%;42.777 €;137%;69.963 €;98%;49.813 €;115%;58.449 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;27.761,4 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;3,8%;1.014,6 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.753,9 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 1.163,3 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;2,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;2,9%;4.832;17,0%;820;17,4%;841;18,4%;890;10,1%;486;18,1%;873;10,7%;518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;5,2%;;5,9%;;5,6%;;5,6%;;4,1%;;5,3%;;4,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;5,6%;;6,1%;;6,1%;;5,9%;;4,3%;;5,7%;;4,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;4,2%;;2,3%;;2,5%;;3,2%;;3,3%;;1,6%;;2,2%;;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,5%;;4,8%;;5,1%;;5,4%;;5,2%;;3,6%;;4,9%;;4,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;9,8%;;7,3%;;8,4%;;8,0%;;7,5%;;5,9%;;7,5%;;6,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;4,9%;;5,6%;;5,1%;;5,3%;;3,9%;;4,8%;;4,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;4,4%;;2,0%;;2,0%;;2,4%;;2,3%;;2,1%;;2,4%;;0,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
