17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;63,8%;14.711;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;15,2%;3.509;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;30,0%;1.053;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;1,1%;37;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;68,9%;2.419;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;3,6%;823;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;32,7%;269;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,0%;0;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;67,3%;554;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;9,8%;10.508;11,9%;3.916;12,5%;1.355;5,7%;702;9,0%;2.461;8,6%;2.074;;;
Primaria incompleta;12,1%;301.397;18,2%;19.511;19,0%;6.233;21,6%;2.338;11,0%;1.357;17,1%;4.664;20,3%;4.919;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;38,4%;41.229;39,1%;12.826;44,8%;4.854;37,3%;4.591;37,8%;10.299;35,8%;8.659;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;18,5%;19.827;17,1%;5.618;13,4%;1.455;23,1%;2.848;19,5%;5.311;19,0%;4.595;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;6,0%;6.494;5,0%;1.652;2,8%;302;9,7%;1.199;6,5%;1.778;6,5%;1.563;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;9,1%;9.731;7,8%;2.546;4,8%;522;13,1%;1.612;9,9%;2.689;9,8%;2.362;;;
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;135;0,1%;47;0,1%;10;0,1%;7;0,1%;31;0,2%;40;;;
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;9,1%;354;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;51,4%;182;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;48,6%;172;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;33,4%;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;19,5%;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;64,8%;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;65,2%;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;21,1%;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;42,5%;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;19,7%;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,0%;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,3%;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;34,3%;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;32,8%;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;26,4%;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;5,9%;8.584;;;;;;;;;;;;;
Hombres;48,1%;86.609;50,8%;4.360;;;;;;;;;;;;;
Mujeres;51,9%;93.431;49,2%;4.224;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;96,9;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;44,2;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;49,0;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;59,6;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;4,6;;;;;;;;;;;;;
Parques infantiles ;;6,3;;4,3;;;;;;;;;;;;;
Centros culturales;;6,9;;6,3;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,3;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,0;;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,4;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;88,9%;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;76,2%;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;0,0%;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;0,0%;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;57,0;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;60,1;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;27,6;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;8,9;;;;;;;;;;;;;
2º. Consumo o menudeo de drogas;;4,0;;8,5;;;;;;;;;;;;;
3º. Uso indebido de parques y espacios públicos;;4,2;;7,7;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;14,0%;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;65,7%;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;30,1%;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;18,2%;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;51,1%;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0101;;0,0103;;0,0116;;0,0091;;0,0098;;0,0098;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;2;;10;;4;;31;;23;;22;;;
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);63,2%;;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281;4,9%;6.367;;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;9,2%;638;;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;8,8%;1.425;;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;5,5%;756;;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;5,7%;424.935;;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;5,7%;4.075;;;;;;;;;;;;;
Hombres;;16.914;5,9%;992;;;;;;;;;;;;;
Mujeres;;54.324;5,7%;3.083;;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;5,3%;17.298;;;;;;;;;;;;;
Hombres;;124.008;5,6%;6.975;;;;;;;;;;;;;
Mujeres ;;201.916;5,1%;10.323;;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;4,6%;343;;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;8,0%;170;;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;4,0%;54;;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;10,4%;5;;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;9,9%;7;;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;7,7%;1;;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;5,0%;7;;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;10,7%;11;;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;;
