19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;9,48;;11,79;;12,31;;6,55;;4,86;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;10,69;;12,36;;11,51;;8,30;;7,51;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;55,0%;2.478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;37,3%;925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;62,7%;1.553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;39,9%;1.797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;47,1%;846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;52,9%;951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;60,1%;2.708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;37,5%;1.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;62,5%;1.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;13.130;100,0%;5.252;100,0%;2.122;100,0%;4.717;100,0%;1.039;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;13,1%;1.715;16,0%;841;11,8%;251;7,4%;349;26,4%;274;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;15,3%;2.004;17,2%;903;14,7%;312;12,0%;566;21,5%;223;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;39,9%;5.245;39,4%;2.069;35,4%;752;43,9%;2.069;34,2%;355;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;31,7%;4.166;27,4%;1.439;38,0%;807;36,7%;1.733;18,0%;187;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,1%;6.713;51,5%;2.705;50,9%;1.080;50,6%;2.389;51,9%;539;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;12,8%;861;14,9%;402;12,1%;131;7,8%;186;26,3%;142;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;16,1%;1.082;17,7%;478;15,1%;163;12,9%;309;24,5%;132;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;39,6%;2.661;40,0%;1.081;34,5%;373;43,0%;1.027;33,4%;180;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;31,4%;2.109;27,5%;744;38,2%;413;36,3%;867;15,8%;85;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,9%;6.417;48,5%;2.547;49,1%;1.042;49,4%;2.328;48,1%;500;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;13,3%;854;17,2%;439;11,5%;120;7,0%;163;26,4%;132;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;14,4%;922;16,7%;425;14,3%;149;11,0%;257;18,2%;91;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;40,3%;2.584;38,8%;988;36,4%;379;44,8%;1.042;35,0%;175;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;32,1%;2.057;27,3%;695;37,8%;394;37,2%;866;20,4%;102;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;12.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
