05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;917,55;;170,92;;104,01;;76,23;;171,25;;179,01;;216,13;
Tamaño medio del hogar;;2,52;;2,51;;2,83;;2,31;;2,34;;2,55;;2,67;;2,56
Hogares con una mujer sola >65 años;9,8%;124.815;11,0%;6.377;8,7%;525;12,3%;1.943;11,6%;919;11,8%;1.446;9,6%;882;10,1%;662
Hogares con un hombre solo >65 años;2,8%;35.963;3,1%;1.790;3,3%;197;3,1%;494;2,8%;224;3,1%;376;3,0%;276;3,4%;223
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;1,6%;939;1,1%;67;1,5%;233;2,1%;165;1,8%;221;1,8%;166;1,3%;87
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,4%;256;0,6%;36;0,4%;58;0,3%;23;0,4%;52;0,6%;54;0,5%;33
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;9,95;;10,00;;9,97;;9,45;;9,87;;10,66;;9,56
Tasa de crecimiento demográfico 2017 (‰);;1,24;;1,02;;0,49;;1,19;;0,91;;0,40;;1,59;;1,63
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,3;;86,6;;85,4;;86,7;;86,4;;86,7;;87,3
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;81,1;;82,2;;79,9;;79,2;;81,5;;82,4;;82,4
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,6;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,7;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,5;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,8;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;158%;60.947,9 €;170%;103.573,1 €;72%;43.701,5 €;72%;43.707,0 €;103%;62.635,4 €;132%;80.248,4 €;90%;54.870,0 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;27.561,9 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;1,6%;428,2 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.665,8 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;1.043,6 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;2,8%;4.681;7,7%;362;30,8%;1.442;15,6%;731;19,2%;899;11,8%;554;11,4%;533
Tasa absoluta de paro registrado (agosto 2018);7,9%;;5,1%;;3,4%;;6,4%;;6,3%;;4,9%;;3,8%;;5,1%;
Tasa absoluta de paro registrado MUJERES;8,6%;;5,4%;;3,5%;;6,7%;;6,7%;;5,0%;;4,0%;;5,8%;
De 16 a 24 años;4,6%;;1,3%;;0,4%;;1,8%;;2,3%;;1,6%;;0,8%;;0,6%;
De 25 a 44 años;8,3%;;4,8%;;3,5%;;5,6%;;6,4%;;4,5%;;3,6%;;4,8%;
De 45 a 64 años;10,1%;;7,0%;;4,4%;;9,0%;;8,0%;;6,3%;;5,4%;;8,2%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;4,8%;;3,3%;;6,1%;;5,9%;;4,7%;;3,4%;;4,4%;
De 16 a 24 años;4,5%;;1,9%;;0,7%;;2,7%;;3,6%;;1,7%;;1,1%;;1,5%;
De 25 a 44 años;6,1%;;4,0%;;3,3%;;5,3%;;4,7%;;3,7%;;2,7%;;3,5%;
De 45 a 64 años;9,1%;;6,6%;;4,3%;;8,0%;;7,9%;;6,8%;;5,0%;;6,2%;
Parados de larga duración (agosto 2018);41,0%;68.898;39,9%;1.867;;;;;;;;;;;;
Hombres;40,4%;27.816;42,5%;793;;;;;;;;;;;;
Mujeres ;59,6%;41.082;57,5%;1.074;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;44,3%;2.073;;;;;;;;;;;;
Hombres;47,0%;29.412;46,3%;960;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,7%;1.113;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;55,7%;2.608;;;;;;;;;;;;
Hombres;40,7%;42.906;41,3%;1.077;;;;;;;;;;;;
Mujeres ;59,3%;62.424;58,7%;1.531;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;20.103;100%;2.457;100%;4.175;100%;2.308;100%;4.729;100%;4.208;100%;2.226
0 a 2 años;18,8%;87.088;20,8%;4.177;21,2%;520;23,3%;973;21,6%;499;20,0%;947;18,8%;792;20,0%;446
Infantil (3 a 5 años);18,7%;86.699;19,7%;3.969;20,9%;513;18,8%;785;19,7%;455;20,1%;949;20,2%;848;18,8%;419
Primaria (6 a 11 años);38,2%;176.730;36,5%;7.330;34,4%;846;36,5%;1.524;35,1%;809;36,1%;1.706;38,2%;1.606;37,7%;839
Secundaria (12 a 15 años);24,3%;112.494;23,0%;4.627;23,5%;578;21,4%;893;23,6%;545;23,8%;1.127;22,9%;962;23,5%;522
Etapas educativas. Total niños;51,2%;237.098;50,5%;10.161;50,7%;1.246;49,9%;2.082;51,5%;1.189;49,5%;2.340;51,2%;2.153;51,7%;1.151
0 a 2 años;18,8%;44.551;20,9%;2.120;21,3%;265;23,9%;498;20,4%;242;20,9%;490;18,2%;392;20,2%;233
Infantil (3 a 5 años);18,8%;44.489;20,0%;2.036;21,3%;265;19,2%;400;20,3%;241;19,9%;465;19,9%;428;20,6%;237
Primaria (6 a 11 años);38,2%;90.647;36,0%;3.657;33,4%;416;35,7%;744;35,8%;426;35,2%;823;38,5%;829;36,4%;419
Secundaria (12 a 15 años);24,2%;57.411;23,1%;2.348;24,1%;300;21,1%;440;23,5%;280;24,0%;562;23,4%;504;22,8%;262
Etapas educativas. Total niñas;48,8%;225.913;49,5%;9.942;49,3%;1.211;50,1%;2.093;48,5%;1.119;50,5%;2.389;48,8%;2.055;48,3%;1.075
0 a 2 años;18,8%;42.537;20,7%;2.057;21,1%;255;22,7%;475;23,0%;257;19,1%;457;19,5%;400;19,8%;213
Infantil (3 a 5 años);18,7%;42.210;19,4%;1.933;20,5%;248;18,4%;385;19,1%;214;20,3%;484;20,4%;420;16,9%;182
Primaria (6 a 11 años);38,1%;86.083;36,9%;3.673;35,5%;430;37,3%;780;34,2%;383;37,0%;883;37,8%;777;39,1%;420
Secundaria (12 a 15 años);24,4%;55.083;22,9%;2.279;23,0%;278;21,6%;453;23,7%;265;23,7%;565;22,3%;458;24,2%;260
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;36.958;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;45,1%;16.667;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;34,9%;12.884;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;20,0%;7.407;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;5,4%;1.991;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;28,3%;563;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;37,1%;738;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;34,7%;690;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;2,9%;1080;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;70,0%;756;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;17,1%;185;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;12,9%;139;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;1,6%;1.811;1,4%;185;1,9%;561;2,0%;302;1,4%;329;1,0%;190;1,9%;244
Primaria incompleta;12,1%;301.397;5,0%;5.644;3,5%;459;6,2%;1.854;6,6%;981;4,4%;1.080;3,2%;590;5,2%;680
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;14,1%;16.089;12,2%;1.607;16,7%;4.996;18,2%;2.707;12,6%;3.078;10,9%;1.994;12,9%;1.707
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;18,6%;21.114;17,0%;2.233;20,6%;6.153;19,9%;2.964;18,0%;4.394;16,5%;3.016;17,9%;2.354
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;11,4%;12.938;9,4%;1.239;12,7%;3.780;11,3%;1.688;11,5%;2.792;10,4%;1.894;11,7%;1.545
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;49,0%;55.761;55,9%;7.334;41,6%;12.434;41,6%;6.205;51,7%;12.594;57,8%;10.568;50,3%;6.626
Nivel de estudios desconocido y no consta;0,1%;3.467;0,3%;351;0,5%;64;0,3%;85;0,4%;53;0,3%;80;0,2%;39;0,2%;30
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;0,5%;21;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;61,9%;13;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;38,1%;8;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;25,4%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;18,5%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,2%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;78,5%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,3%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;35,5%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;14,6%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;3,8%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;8,7%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;27,0%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;34,8%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;17,8%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;4,0%;5.802;;;;;;;;;;;;
Hombres;48,1%;86.609;46,8%;2.715;;;;;;;;;;;;
Mujeres;51,9%;93.431;53,2%;3.087;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;113,7;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;81,8;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;81,6;;;;;;;;;;;;
Convivencia vecinal;;67,8;;74,0;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,5;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,0;;;;;;;;;;;;
Centros culturales;;6,9;;7,2;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,6;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,9;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,7;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;83,3%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;31,5%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;27,3%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;11,9%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;75,5;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;86,2;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;75,2;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;6,1;;;;;;;;;;;;
