06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,9%;8.946;48,5%;1.683;47,5%;1.737;49,1%;960;50,0%;1.345;49,3%;1.671;49,5%;1.550;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;20,9%;1.869;21,1%;355;21,9%;380;25,5%;245;19,4%;261;20,2%;337;18,8%;291;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;19,8%;1.768;19,3%;325;19,0%;330;17,6%;169;20,9%;281;20,2%;338;21,0%;325;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;35,9%;3.208;35,4%;596;36,4%;633;36,1%;347;33,0%;444;36,1%;604;37,7%;584;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;23,5%;2.101;24,2%;407;22,7%;394;20,7%;199;26,7%;359;23,5%;392;22,6%;350;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;12.778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;49,0%;6.258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;14,0%;1.787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;37,0%;4.733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;20,5%;2.622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;37,9%;993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;3,5%;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;58,6%;1.536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;6,5%;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;62,9%;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;0,2%;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;36,8%;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;3,3%;4.193;3,1%;717;1,9%;540;1,9%;325;5,6%;1.008;4,4%;925;3,3%;678;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;9,5%;12.227;9,9%;2.328;5,9%;1.684;5,8%;1.004;13,7%;2.461;12,0%;2.512;11,0%;2.238;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;26,1%;33.536;29,1%;6.822;18,8%;5.382;17,7%;3.056;29,3%;5.252;32,0%;6.703;31,2%;6.321;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;18,4%;23.673;19,1%;4.474;17,3%;4.929;17,6%;3.030;17,6%;3.154;19,2%;4.037;20,0%;4.049;;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;8,9%;11.486;8,7%;2.048;9,6%;2.752;10,1%;1.740;8,1%;1.447;8,4%;1.756;8,6%;1.743;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;33,6%;43.131;29,9%;7.016;46,2%;13.210;46,7%;8.050;25,7%;4.618;23,9%;5.020;25,7%;5.217;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;178;0,1%;32;0,2%;68;0,1%;22;0,1%;10;0,1%;19;0,1%;27;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;128.424;1;23.437;1;28.565;1;17.227;1;17.950;1;20.972;1;20.273;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;5,4%;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;56,1%;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;43,9%;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
