10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;7,9%;13.138;9,8%;1.287;19,7%;2.590;15,4%;2.028;24,0%;3.159;6,6%;868;2,4%;317;18,7%;2.451;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;8,5%;;10,9%;;9,3%;;8,7%;;8,1%;;7,1%;;7,8%;;8,0%;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;9,0%;;11,7%;;9,4%;;9,0%;;8,5%;;7,4%;;9,7%;;8,7%;;;;;
De 16 a 24 años;4,2%;;4,7%;;7,8%;;5,4%;;4,6%;;3,7%;;3,6%;;4,5%;;4,4%;;;;;
De 25 a 44 años;7,5%;;8,5%;;11,4%;;8,1%;;9,2%;;8,1%;;6,8%;;8,6%;;8,6%;;;;;
De 45 a 64 años;9,8%;;10,7%;;13,2%;;12,0%;;10,3%;;10,4%;;9,2%;;12,3%;;9,9%;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;8,0%;;10,0%;;9,1%;;8,3%;;7,7%;;6,7%;;6,0%;;7,3%;;;;;
De 16 a 24 años;4,4%;;5,0%;;7,1%;;5,8%;;5,0%;;5,0%;;3,4%;;3,5%;;4,3%;;;;;
De 25 a 44 años;6,0%;;7,3%;;9,4%;;8,0%;;7,5%;;6,9%;;6,3%;;5,6%;;6,6%;;;;;
De 45 a 64 años;8,9%;;9,8%;;11,5%;;11,4%;;10,3%;;9,4%;;8,2%;;7,1%;;8,8%;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;37,0%;4.861;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;39,5%;1.920;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;60,5%;2.941;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;43,8%;5.758;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;49,6%;2854;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;50,4%;2.904;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;56,2%;7.380;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;41,6%;3.069;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;58,4%;4.311;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;29.625;100%;2.508;100%;4.884;100%;4.538;100%;7.562;100%;2.528;100%;1.351;100%;6.254;;;;
0 a 2 años;18,2%;84.692;17,8%;5.266;16,5%;413;18,8%;919;17,2%;780;17,9%;1.353;19,4%;491;18,5%;250;16,9%;1.060;;;;
Infantil (3 a 5 años);18,7%;86.684;18,0%;5.347;16,4%;412;18,3%;894;17,5%;794;18,2%;1.378;18,4%;465;21,5%;290;17,8%;1.114;;;;
Primaria (6 a 11 años);38,4%;178.445;38,5%;11.410;38,6%;968;38,4%;1.874;38,2%;1.732;39,1%;2.959;37,4%;946;42,3%;571;37,7%;2.360;;;;
Secundaria (12 a 15 años);24,7%;114.517;25,7%;7.602;28,5%;715;24,5%;1.197;27,1%;1.232;24,8%;1.872;24,8%;626;17,8%;240;27,5%;1.720;;;;
Etapas educativas. Total niños;51,2%;237557;51,1%;15.150;50,2%;1.258;51,7%;2.526;51,4%;2.331;50,6%;3.826;50,6%;1.279;52,8%;713;51,4%;3.217;;;;
0 a 2 años;18,2%;43.261;17,9%;2.705;16,1%;202;18,2%;460;16,3%;379;18,5%;708;20,9%;267;19,6%;140;8,8%;549;;;;
Infantil (3 a 5 años);18,7%;44.354;18,4%;2.786;16,9%;213;18,8%;475;17,8%;416;18,8%;721;18,1%;231;21,7%;155;9,2%;575;;;;
Primaria (6 a 11 años);38,5%;91.575;38,4%;5.821;38,2%;480;39,1%;988;38,4%;894;38,5%;1474;37,7%;482;42,6%;304;19,2%;1199;;;;
Secundaria (12 a 15 años);24,6%;58.367;25,3%;3.838;28,9%;363;23,9%;603;27,5%;642;24,1%;923;23,4%;299;16,0%;114;14,3%;894;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,9%;14.475;49,8%;1.250;48,3%;2.358;48,6%;2.207;49,4%;3.736;49,4%;1.249;47,2%;638;48,6%;3.037;;;;
0 a 2 años;18,3%;41.431;17,7%;2.561;16,9%;211;19,5%;459;18,2%;401;17,3%;645;17,9%;224;17,2%;110;16,8%;511;;;;
Infantil (3 a 5 años);18,7%;42.330;17,7%;2.561;15,9%;199;17,8%;419;17,1%;378;17,6%;657;18,7%;234;21,2%;135;17,7%;539;;;;
Primaria (6 a 11 años);38,3%;86.870;38,6%;5.589;39,0%;488;37,6%;886;38,0%;838;39,7%;1485;37,1%;464;41,8%;267;38,2%;1161;;;;
Secundaria (12 a 15 años);24,8%;56.150;26,0%;3.764;28,2%;352;25,2%;594;26,7%;590;25,4%;949;26,2%;327;19,7%;126;27,2%;826;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;35.674;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;50,2%;17.919;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;11,0%;3.932;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;38,7%;13.823;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;13,8%;4.922;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;36,2%;1.784;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;3,2%;158;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;60,5%;2.980;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,3%;1.522;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;49,3%;750;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;2,6%;40;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;48,1%;732;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;6,2%;11.657;7,6%;985;5,7%;1.887;6,7%;1.879;5,7%;3.048;5,2%;789;2,5%;99;7,2%;2.970;;;;
Primaria incompleta;11,6%;291.746;16,3%;30.804;15,9%;2.069;14,9%;4.957;15,7%;4.414;17,3%;9.301;15,1%;2.307;6,9%;274;18,1%;7.482;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;32,3%;60.856;32,5%;4.235;31,1%;10.375;31,9%;8.965;32,6%;17.503;31,9%;4.859;26,0%;1.036;33,7%;13.883;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;20,4%;38.508;20,0%;2.611;20,4%;6.786;20,4%;5.728;20,5%;11.042;21,2%;3.229;23,7%;945;19,8%;8.167;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;8,4%;15.940;7,8%;1.023;8,2%;2.732;8,2%;2.312;8,8%;4.723;8,8%;1.344;15,4%;614;7,7%;3.192;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;16,2%;30.645;16,1%;2.097;19,6%;6.536;17,0%;4.768;14,9%;8.032;17,7%;2.693;25,5%;1.016;13,3%;5.503;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,2%;288;0,2%;25;0,1%;49;0,1%;27;0,2%;110;0,1%;20;0,0%;0;0,1%;57;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;188.698;1;13.045;1;33.322;1;28.093;1;53.759;1;15.241;1;3.984;1;41.254;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;8,0%;322;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;50,6%;163;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;49,4%;159;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,3%;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,6%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,7%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;71,3%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,6%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;
