20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;90%;34.494,5 €;91%;31.368,1 €;68%;23.534,7 €;63%;21.842,0 €;81%;28.111,4 €;126%;43.369,5 €;111%;38.202,7 €;91%;31.306,0 €;158%;54.441,1 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;19.086,2 €;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-2,2%;-429,1 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.309,2 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;757,5 €;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;5,2%;8.770;19,1%;1.676;7,7%;678;8,1%;714;17,9%;1.571;14,5%;1.275;7,1%;621;18,1%;1.587;5,3%;468
Tasa absoluta de paro registrado (agosto 2018);7,9%;;8,3%;;9,1%;;12,0%;;13,1%;;10,1%;;6,0%;;5,6%;;8,8%;;6,2%;
Tasa absoluta de paro registrado MUJERES;8,6%;;9,3%;;9,5%;;12,5%;;13,8%;;10,4%;;7,5%;;6,9%;;10,0%;;7,3%;
De 16 a 24 años;4,6%;;4,4%;;5,3%;;6,2%;;9,2%;;6,6%;;2,7%;;2,6%;;4,4%;;1,3%;
De 25 a 44 años;8,3%;;9,0%;;9,2%;;11,9%;;14,3%;;10,5%;;7,1%;;5,8%;;9,4%;;8,2%;
De 45 a 64 años;10,1%;;10,9%;;11,0%;;14,8%;;14,9%;;11,5%;;9,1%;;9,7%;;12,0%;;8,6%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;7,4%;;8,6%;;11,4%;;12,3%;;9,7%;;4,3%;;4,2%;;7,6%;;5,1%;
De 16 a 24 años;4,5%;;4,5%;;5,0%;;9,9%;;7,8%;;6,7%;;2,6%;;3,0%;;3,9%;;2,0%;
De 25 a 44 años;6,1%;;6,2%;;6,8%;;9,2%;;10,7%;;8,7%;;4,4%;;2,9%;;6,1%;;4,4%;
De 45 a 64 años;9,1%;;9,2%;;11,6%;;14,0%;;15,3%;;11,5%;;4,8%;;6,3%;;10,3%;;6,7%;
Parados de larga duración (agosto 2018);41,0%;68.898;43,3%;3.794;;;;;;;;;;;;;;;;
Hombres;40,4%;27.816;40,5%;1.537;;;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;59,5%;2.257;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;37,2%;3.262;;;;;;;;;;;;;;;;
Hombres;47,0%;29.412;47,0%;1.533;;;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,0%;1.729;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;62,8%;5.508;;;;;;;;;;;;;;;;
Hombres;40,7%;42.906;40,3%;2.218;;;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;59,7%;3.290;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;24.933;100,0%;4.323;100,0%;1.051;100,0%;1.247;100,0%;3.887;100,0%;5.998;100,0%;3.392;100,0%;3.659;100,0%;1.376
0 a 2 años;18,8%;87.088;15,6%;3.881;16,3%;703;19,0%;200;19,1%;238;14,2%;551;11,0%;662;19,5%;663;17,5%;642;16,1%;222
Infantil (3 a 5 años);18,7%;86.699;16,6%;4.138;17,0%;736;17,0%;179;19,9%;248;15,2%;591;12,8%;770;21,6%;733;18,6%;679;14,7%;202
Primaria (6 a 11 años);38,2%;176.730;38,9%;9.698;41,3%;1.784;37,2%;391;38,7%;483;38,5%;1.498;37,7%;2.262;40,6%;1.378;39,2%;1.436;33,9%;466
Secundaria (12 a 15 años);24,3%;112.494;28,9%;7.216;25,4%;1100;26,7%;281;22,3%;278;32,1%;1.247;38,4%;2.304;18,2%;618;24,7%;902;35,3%;486
Etapas educativas. Total niños;51,2%;237.098;51,2%;12.762;50,7%;2.191;50,1%;527;52,5%;655;50,6%;1.965;51,2%;3.068;52,3%;1.775;51,2%;1.875;51,3%;706
0 a 2 años;18,8%;44.551;15,8%;2.021;16,9%;371;18,4%;97;19,7%;129;13,8%;271;11,5%;352;19,8%;352;18,4%;345;14,7%;104
Infantil (3 a 5 años);18,8%;44.489;16,7%;2.129;17,3%;378;20,3%;107;19,8%;130;15,1%;297;13,1%;402;21,0%;373;18,4%;345;13,7%;97
Primaria (6 a 11 años);38,2%;90.647;38,4%;4.902;40,3%;884;36,1%;190;39,1%;256;38,3%;752;36,3%;1.113;41,2%;732;38,8%;728;35,0%;247
Secundaria (12 a 15 años);24,2%;57.411;29,1%;3.710;25,5%;558;25,2%;133;21,4%;140;32,8%;645;39,1%;1.201;17,9%;318;24,4%;457;36,5%;258
Etapas educativas. Total niñas;48,8%;225.913;48,8%;12.171;49,3%;2.132;49,9%;524;47,5%;592;49,4%;1.922;48,8%;2.930;47,7%;1.617;48,8%;1.784;48,7%;670
0 a 2 años;18,8%;42.537;15,3%;1.860;15,6%;332;19,7%;103;18,4%;109;14,6%;280;10,6%;310;19,2%;311;16,6%;297;17,6%;118
Infantil (3 a 5 años);18,7%;42.210;16,5%;2.009;16,8%;358;13,7%;72;19,9%;118;15,3%;294;12,6%;368;22,3%;360;18,7%;334;15,7%;105
Primaria (6 a 11 años);38,1%;86.083;39,4%;4.796;42,2%;900;38,4%;201;38,3%;227;38,8%;746;39,2%;1.149;40,0%;646;39,7%;708;32,7%;219
