14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;42,4%;2.128;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;39,2%;834;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;60,8%;1.294;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;40,4%;2.025;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;48,1%;975;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;51,9%;1.050;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;59,6%;2.993;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;40,3%;1.206;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;59,7%;1.787;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;11.235;100%;1.124;100%;1.147;100%;2.809;100%;2.035;100%;2.189;100%;1.931;;;;;;;;
0 a 2 años;18,2%;84.692;15,8%;1.778;14,8%;166;11,1%;127;14,9%;418;19,3%;392;16,0%;351;16,8%;324;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;17,9%;2.010;17,8%;200;11,2%;129;17,7%;498;19,6%;399;18,3%;400;19,9%;384;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;37,7%;4.234;36,7%;412;38,0%;436;37,3%;1.047;35,8%;728;38,5%;842;39,8%;769;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;28,6%;3.213;30,8%;346;39,7%;455;30,1%;846;25,4%;516;27,2%;596;23,5%;454;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;50,5%;5.678;48,1%;541;52,7%;604;52,2%;1.466;49,0%;998;50,7%;1.109;49,7%;960;;;;;;;;
0 a 2 años;18,2%;43.261;15,2%;863;16,3%;88;11,4%;69;14,8%;217;16,6%;166;15,7%;174;15,5%;149;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;17,9%;1.015;17,2%;93;12,7%;77;16,8%;247;20,9%;209;18,3%;203;19,4%;186;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;38,9%;2.208;39,2%;212;35,8%;216;38,9%;570;38,5%;384;39,0%;433;40,9%;393;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;28,0%;1.592;27,4%;148;40,1%;242;29,5%;432;23,9%;239;27,0%;299;24,2%;232;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;49,5%;5.557;51,9%;583;47,3%;543;47,8%;1.343;51,0%;1037;49,3%;1.080;50,3%;971;;;;;;;;
0 a 2 años;18,3%;41.431;16,5%;915;13,4%;78;10,7%;58;15,0%;201;21,8%;226;16,4%;177;18,0%;175;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;17,9%;995;18,4%;107;9,6%;52;18,7%;251;18,3%;190;18,2%;197;20,4%;198;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;36,5%;2.026;34,3%;200;40,5%;220;35,5%;477;33,2%;344;37,9%;409;38,7%;376;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;29,2%;1.621;34,0%;198;39,2%;213;30,8%;414;26,7%;277;27,5%;297;22,9%;222;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;14.633;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;37,5%;5.489;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;10,4%;1.523;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;52,1%;7.621;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;7,2%;1.051;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;12,7%;133;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;1,5%;16;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;85,8%;902;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,9%;711;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;30,9%;220;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;2,1%;15;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;66,9%;476;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;6,0%;4.491;9,5%;665;3,8%;161;4,2%;907;6,4%;918;7,3%;987;6,2%;853;;;;;;;;
Primaria incompleta;11,6%;291.746;13,8%;10.323;13,8%;969;8,0%;341;11,8%;2.552;14,0%;2.001;16,7%;2.268;16,0%;2.192;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;28,0%;20.880;27,9%;1.963;22,1%;937;25,3%;5.490;27,0%;3.860;33,3%;4.539;29,8%;4.091;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;21,5%;16.014;21,9%;1.538;22,1%;935;22,6%;4.898;20,5%;2.923;20,5%;2.791;21,3%;2.929;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;9,8%;7.317;9,4%;660;13,1%;556;11,1%;2.398;9,7%;1.389;7,8%;1.066;9,1%;1.248;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;20,7%;15.471;17,4%;1.224;30,9%;1.308;25,0%;5.432;22,1%;3.158;14,2%;1.939;17,5%;2.410;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;98;0,1%;9;0,0%;0;0,1%;22;0,2%;31;0,2%;22;0,1%;14;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;1;2.525.009;1;74.594;1;7.028;1;4.238;1;21.699;1;14.280;1;13.612;1;13.737;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;3,8%;152;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;46,7%;71;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;53,3%;81;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,3%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,1%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,7%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;71,6%;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,2%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;41,7%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,8%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,6%;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;13,0%;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;34,5%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;43,6%;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;20,0%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;
