17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.018,76;;925,36;;108,25;;637,55;;154,07;;193,53;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;6,5%;10.808;33,1%;3.576;14,2%;1.539;10,0%;1.080;21,8%;2.360;19,0%;2.050;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;10,4%;;11,5%;;13,3%;;8,1%;;9,2%;;10,2%;;0,0655;;0,0884;;0,0623;;
Tasa absoluta de paro registrado MUJERES;8,1%;;11,5%;;12,6%;;14,1%;;9,5%;;10,2%;;11,2%;;0,0656;;0,0997;;0,073;;
De 16 a 24 años;4,2%;;6,8%;;8,0%;;6,7%;;5,3%;;6,4%;;6,5%;;0,0229;;0,0436;;0,0131;;
De 25 a 44 años;7,5%;;11,5%;;12,9%;;14,6%;;9,9%;;10,2%;;10,2%;;0,0543;;0,0944;;0,0817;;
De 45 a 64 años;9,8%;;13,0%;;13,7%;;16,6%;;10,2%;;11,5%;;13,7%;;0,0937;;0,1202;;0,0855;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;9,3%;;10,3%;;12,6%;;6,7%;;8,1%;;9,2%;;0,0654;;0,0762;;0,0508;;
De 16 a 24 años;4,4%;;7,0%;;8,4%;;7,1%;;6,8%;;5,9%;;6,4%;;0,0129;;0,039;;0,0196;;
De 25 a 44 años;6,0%;;8,5%;;9,6%;;11,1%;;5,9%;;7,7%;;7,9%;;0,0523;;0,0606;;0,0439;;
De 45 a 64 años;8,9%;;11,0%;;11,6%;;17,1%;;7,5%;;9,3%;;11,4%;;0,0966;;0,1032;;0,0671;;
Parados de larga duración (febrero 2020);38,2%;63.943;38,8%;4.194;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;37,9%;1.588;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;62,1%;2.606;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;37,0%;4.004;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;50,4%;2.020;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;49,6%;1.984;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;63,0%;6.804;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;39,5%;2.686;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;60,5%;4.118;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100,0%;24.700;100,0%;7.283;100,0%;3.079;100,0%;4.690;100,0%;5.841;100,0%;3.807;;;;;;;
0 a 2 años;18,2%;84.692;17,1%;4.225;18,3%;1.332;19,2%;591;14,2%;665;15,9%;930;18,6%;707;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;17,4%;4.306;17,1%;1.248;20,2%;623;17,3%;813;15,8%;924;18,3%;698;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;40,0%;9.887;39,1%;2.846;38,4%;1.183;44,1%;2.070;39,8%;2.325;38,4%;1.463;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;25,4%;6.282;25,5%;1.857;22,2%;682;24,3%;1.142;28,5%;1.662;24,7%;939;;;;;;;
Etapas educativas. Total niños;51,2%;237557;51,4%;12.698;50,8%;3.701;52,5%;1.618;51,9%;2.433;51,5%;3.011;50,8%;1.935;;;;;;;
0 a 2 años;18,2%;43.261;16,6%;2.108;17,5%;646;18,0%;291;14,2%;345;15,6%;471;18,3%;355;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;17,5%;2.224;17,3%;642;22,4%;363;17,2%;419;15,4%;464;17,4%;336;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;40,2%;5.106;39,5%;1462;38,1%;617;43,7%;1064;40,1%;1206;39,1%;757;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;25,7%;3.260;25,7%;951;21,4%;347;24,9%;605;28,9%;870;25,2%;487;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,6%;12.002;49,2%;3.582;47,5%;1.461;48,1%;2.257;48,5%;2.830;49,2%;1.872;;;;;;;
0 a 2 años;18,3%;41.431;17,6%;2.117;19,2%;686;20,5%;300;14,2%;320;16,2%;459;18,8%;352;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;17,3%;2.082;16,9%;606;17,8%;260;17,5%;394;16,3%;460;19,3%;362;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;39,8%;4.781;38,6%;1384;38,7%;566;44,6%;1006;39,5%;1119;37,7%;706;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;25,2%;3.022;25,3%;906;22,9%;335;23,8%;537;28,0%;792;24,1%;452;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;23.526;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;30,6%;7.204;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;5,3%;1.248;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;64,1%;15.074;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;16,0%;3.753;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;30,3%;1.137;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;0,9%;34;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;68,8%;2.582;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;3,5%;834;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;37,9%;316;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;0,1%;1;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;62,0%;517;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;9,1%;10.030;11,1%;3.731;11,5%;1.285;5,6%;708;8,4%;2.340;7,9%;1.966;;;;;;;
Primaria incompleta;11,6%;291.746;17,4%;19.169;18,3%;6.143;20,3%;2.268;10,7%;1.356;16,6%;4.597;19,4%;4.805;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;39,0%;42.824;39,6%;13.280;46,1%;5.141;37,5%;4.770;38,5%;10.680;36,2%;8.953;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;18,7%;20.545;17,4%;5.851;14,0%;1.557;23,0%;2.925;19,6%;5.432;19,3%;4.780;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;6,0%;6.578;5,0%;1.673;2,8%;316;9,6%;1.222;6,4%;1.763;6,5%;1.604;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;9,6%;10.592;8,4%;2.813;5,1%;568;13,6%;1.732;10,4%;2.886;10,5%;2.593;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;127;0,1%;46;0,1%;10;0,0%;6;0,1%;29;0,1%;36;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;1;2.525.009;1;109.865;1;33.537;1;11.145;1;12.719;1;27.727;1;24.737;0;0;0;0;0;0;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;9,7%;391;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;52,2%;204;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;47,8%;187;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;33,4%;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;19,5%;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;64,8%;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;65,2%;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;21,1%;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;42,5%;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;19,7%;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,0%;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,3%;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;34,3%;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;32,8%;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;26,4%;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;5,4%;10.854;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;50,8%;5.514;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;49,2%;5.340;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;96,84;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;55,0;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;56,3;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;56,3;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;6,2;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;6,1;;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;6,8;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,9;;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,6;;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;6,2;;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;77,1%;;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;34,4%;;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;14,5%;;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;8,0%;;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;60,8;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;62,1;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;41,6;;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;8,3;;;;;;;;;;;;;;;;;
2º Consumo o menudeo de drogas;;4,3;;6,9;;;;;;;;;;;;;;;;;
3º Uso indebido de parques y espacios públicos;;4,0;;6,4;;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;12,2%;;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;54,9%;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;46,9%;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;14,2%;;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;59,4%;;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0101;;0,0103;;0,0116;;0,0091;;0,0097;;0,0098;;0,007769454;;0,008791792;;0,00728669;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;20;;10;;3;;31;;20;;17;;54;;37;;73;
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social HOMBRES;24,0%;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social MUJERES;26,7%;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. ESPAÑOLA (>16 años);21,9%;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);14,4%;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);66,1%;;;;;;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;;;;;;
1.9.1. Población en general (2019);;;;;;;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;94.210 ;4,0%;3.742;;;;;;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;5.474 ;8,8%;484;;;;;;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;17.877 ;9,1%;1.625;;;;;;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.316 ;5,8%;776;;;;;;;;;;;;;;;;;
