04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;539,24;;87,31;;77,03;;85,26;;160,28;;52,02;;77,34;
En centros PÚBLICOS;56,7%;29.825;42,6%;484;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;1,8%;346;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;77,5%;268;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,6%;2;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;22,0%;76;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;1,7%;2.016;0,9%;108;1,8%;425;2,2%;381;2,0%;671;1,5%;256;1,3%;175
Primaria incompleta;12,1%;301.397;5,4%;6.391;3,3%;418;5,2%;1.250;7,6%;1.299;6,0%;2.004;5,2%;873;4,1%;547
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;14,8%;17.372;11,5%;1.444;14,8%;3.577;18,4%;3.139;15,6%;5.210;13,8%;2.334;12,4%;1.668
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;18,8%;22.039;17,0%;2.133;18,1%;4.365;20,0%;3.413;19,8%;6.629;18,5%;3.121;17,7%;2.378
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;11,0%;12.971;9,6%;1.209;10,7%;2.584;12,2%;2.077;12,1%;4.053;10,7%;1.796;9,3%;1.252
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;48,1%;56.482;57,6%;7.240;49,2%;11.866;39,4%;6.722;44,3%;14.814;50,1%;8.445;55,0%;7.395
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;182;0,1%;15;0,2%;40;0,1%;20;0,1%;38;0,2%;34;0,3%;35
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;0,5%;18;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;55,6%;10;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;44,4%;8;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,7%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,9%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,5%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;76,2%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,6%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;41,0%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;15,9%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,3%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;11,8%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;25,3%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;39,4%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;16,5%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;4,3%;6.202;;;;;;;;;;;;
Hombres;48,1%;86.609;44,1%;2.732;;;;;;;;;;;;
Mujeres;51,9%;93.431;55,9%;3.470;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;127,0;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;78,1;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;80,1;;;;;;;;;;;;
Convivencia vecinal;;67,8;;80,8;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;7,3;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,9;;;;;;;;;;;;
Centros culturales;;6,9;;6,9;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,7;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,9;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,9;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;86,7%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;44,8%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;39,9%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;27,3%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;72,7;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;82,2;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;78,0;;;;;;;;;;;;
