08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,5%;;5,7%;;8,3%;;3,6%;;6,0%;;6,7%;;5,0%;;6,6%;;4,0%;;3,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;9,8%;;8,1%;;10,3%;;7,2%;;8,7%;;9,4%;;7,4%;;8,7%;;6,0%;;5,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;5,2%;;4,7%;;3,3%;;6,0%;;6,7%;;4,4%;;5,7%;;3,6%;;3,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;4,4%;;2,9%;;2,5%;;1,3%;;3,0%;;3,6%;;2,4%;;4,6%;;1,3%;;1,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;6,0%;;4,5%;;3,2%;;3,4%;;5,4%;;5,6%;;3,8%;;4,7%;;3,6%;;2,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,9%;;6,7%;;7,1%;;4,1%;;7,5%;;9,0%;;5,8%;;7,2%;;4,5%;;4,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;38,6%;3.456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;36,8%;1.273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;63,2%;2.183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;46,4%;4.157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;46,3%;1926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;53,7%;2.231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;53,6%;4.794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;39,7%;1.901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;60,3%;2.893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;44.201;100%;407;100%;555;100%;5.874;100%;5.060;100%;3.764;100%;15.223;100%;7.156;100%;6.162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,2%;84.692;18,3%;8.080;20,4%;83;14,2%;79;17,4%;1.024;20,5%;1.037;20,5%;772;17,6%;2.679;18,5%;1.322;17,6%;1.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;20,4%;9.000;19,4%;79;17,5%;97;19,3%;1.133;18,9%;958;21,1%;794;21,1%;3.217;18,9%;1.350;22,3%;1.372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;40,0%;17.701;36,9%;150;40,5%;225;38,3%;2.247;37,8%;1.914;36,9%;1.390;42,0%;6.393;38,7%;2.769;42,4%;2.613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;21,3%;9.420;23,3%;95;27,7%;154;25,0%;1.470;22,7%;1.151;21,5%;808;19,3%;2.934;24,0%;1.715;17,7%;1.093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;51,4%;22.728;52,8%;215;51,2%;284;51,7%;3.037;52,0%;2.633;51,2%;1.927;51,4%;7.830;50,8%;3.633;51,4%;3.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,2%;43.261;18,4%;4.182;19,1%;41;16,2%;46;17,4%;527;19,8%;522;20,3%;391;18,1%;1.414;9,3%;664;9,4%;577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;20,2%;4.582;17,2%;37;16,2%;46;19,0%;576;19,3%;507;20,9%;402;21,3%;1.671;9,0%;645;11,3%;698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;40,3%;9.165;39,1%;84;40,5%;115;37,8%;1149;38,9%;1025;37,9%;730;42,1%;3.295;20,0%;1431;21,7%;1336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;21,1%;4.799;24,7%;53;27,1%;77;25,8%;785;22,0%;579;21,0%;404;18,5%;1.450;12,5%;893;9,1%;558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,6%;21.473;47,2%;192;48,8%;271;48,3%;2.837;48,0%;2.427;48,8%;1.837;48,6%;7.393;49,2%;3.523;48,6%;2.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,3%;41.431;18,2%;3.898;21,9%;42;12,2%;33;17,5%;497;21,2%;515;20,7%;381;17,1%;1.265;18,7%;658;16,9%;507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;20,6%;4.418;21,9%;42;18,8%;51;19,6%;557;18,6%;451;21,3%;392;20,9%;1.546;20,0%;705;22,5%;674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;39,8%;8.536;34,4%;66;40,6%;110;38,7%;1098;36,6%;889;35,9%;660;41,9%;3.098;38,0%;1338;42,7%;1277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;21,5%;4.621;21,9%;42;28,4%;77;24,1%;685;23,6%;572;22,0%;404;20,1%;1.484;23,3%;822;17,9%;535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;47.752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;40,4%;19.274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;22,0%;10.484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;37,7%;17.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;5,6%;2.679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;28,4%;761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;6,2%;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;65,4%;1.751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,1%;1.953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;50,4%;984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;14,1%;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;35,5%;693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;3,6%;6.518;5,4%;152;1,3%;31;4,3%;1.517;5,3%;2.043;1,7%;483;3,8%;1.636;1,8%;396;2,3%;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;11,6%;291.746;8,9%;16.266;14,5%;409;3,6%;85;10,4%;3.660;13,9%;5.341;6,8%;1.884;8,2%;3.554;3,8%;841;4,4%;492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;20,8%;38.025;30,1%;851;11,4%;271;23,8%;8.332;28,3%;10.870;17,0%;4.720;21,4%;9.272;11,4%;2.511;10,6%;1.198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;18,6%;33.993;24,4%;689;17,0%;403;19,7%;6.920;19,2%;7.364;19,9%;5.522;17,6%;7.641;17,3%;3.806;14,6%;1.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;11,6%;21.250;8,4%;236;9,7%;229;11,2%;3.918;9,7%;3.733;13,4%;3.711;12,1%;5.228;11,8%;2.599;14,2%;1.596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;36,5%;66.690;17,3%;489;56,9%;1.351;30,5%;10.675;23,4%;8.991;41,0%;11.360;36,8%;15.958;53,7%;11.799;53,9%;6.067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;133;0,0%;0;0,1%;3;0,0%;17;0,1%;40;0,1%;19;0,1%;30;0,1%;22;0,0%;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;182.875;1;2.826;1;2.373;1;35.039;1;38.382;1;27.699;1;43.319;1;21.974;1;11.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
