01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;;;;;;;;;;
Hipertensión arterial;18,8%;;13,2%;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;3,6%;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;9,3%;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;26,2%;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;27,0%;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;21,8%;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;6,3%;12.729;;;;;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;50,1%;6.378;;;;;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;49,9%;6.351;;;;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;99,6;;;;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;77,3;;;;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;73,6;;;;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;71,9;;;;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;6,5;;;;;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;5,4;;;;;;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;6,9;;;;;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,9;;;;;;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;5,5;;;;;;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;5,9;;;;;;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;79,5%;;;;;;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;29,5%;;;;;;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;12,0%;;;;;;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;7,8%;;;;;;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;76,5;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;82,7;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;69,8;;;;;;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;;
1º. Personas orinando en la calle;;4,0;;7,2;;;;;;;;;;;;;;;;;;;;;
2º. Excrementos de animales domésticos;;6,6;;6,3;;;;;;;;;;;;;;;;;;;;;
3º. Consumo o menudeo de drogas;;4,3;;6,1;;;;;;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;26,3%;;;;;;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;38,0%;;;;;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;49,0%;;;;;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;8,5%;;;;;;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;80,8%;;;;;;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0076;;0,0075;;0,0083;;0,0072;;0,0072;;0,0075;;0,0078;;;;;;;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;11;;58;;44;;71;;70;;59;;54;;;;;;;;;
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social HOMBRES;24,0%;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social MUJERES;26,7%;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. ESPAÑOLA (>16 años);21,9%;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);14,4%;;;;;;;;;;;;;;;;;;;;;;;;
