16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1.675,80;
Etapas educativas. Total niñas;48,8%;225.913;48,6%;15.829;46,6%;668;49,8%;1.359;48,0%;2.411;48,4%;3.171;49,4%;972;48,7%;7.248
0 a 2 años;18,8%;42.537;19,0%;3.013;13,2%;88;15,0%;204;18,5%;446;18,4%;583;15,9%;155;21,2%;1.537
Infantil (3 a 5 años);18,7%;42.210;19,4%;3.067;14,5%;97;16,9%;230;18,1%;436;18,6%;589;14,9%;145;21,7%;1.570
Primaria (6 a 11 años);38,1%;86.083;37,9%;6.006;40,6%;271;36,9%;502;36,8%;888;37,7%;1.196;36,0%;350;38,6%;2.799
Secundaria (12 a 15 años);24,4%;55.083;23,6%;3.743;31,7%;212;31,1%;423;26,6%;641;25,3%;803;33,1%;322;18,5%;1.342
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;35.944;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;33,5%;12.039;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;37,2%;13.363;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;29,3%;10.542;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;8,9%;3.212;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;11,6%;371;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;51,6%;1.657;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;36,9%;1.184;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;2,7%;954;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;48,5%;463;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;9,0%;86;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;42,5%;405;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;4,1%;5.650;0,8%;37;1,3%;131;5,1%;1.651;6,2%;2.585;5,7%;679;1,6%;567
Primaria incompleta;12,1%;301.397;10,2%;13.879;3,0%;138;3,2%;325;14,1%;4.593;15,3%;6.374;10,8%;1.272;3,3%;1.177
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;22,1%;30.123;10,5%;479;11,1%;1.128;25,2%;8.213;30,6%;12.748;26,9%;3.183;12,3%;4.372
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;20,2%;27.527;19,9%;908;17,7%;1.805;21,5%;7.003;20,5%;8.558;23,4%;2.768;18,3%;6.485
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;11,4%;15.599;13,0%;594;11,9%;1.210;9,8%;3.201;8,7%;3.641;9,9%;1.170;16,3%;5.783
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;31,9%;43.426;52,6%;2.397;54,8%;5.589;24,1%;7.853;18,6%;7.764;23,1%;2.731;48,2%;17.092
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;117;0,1%;6;0,1%;10;0,1%;38;0,1%;31;0,2%;19;0,0%;13
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;2,5%;98;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;54,1%;53;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;45,9%;45;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;26,7%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,1%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,9%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,0%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,6%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,4%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;19,3%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,1%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;12,7%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,4%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
