02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;12,4%;2.700,7 €;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.562,7 € ;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 1.091,2 € ;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;4,1%;6.802;13,7%;934;22,6%;1.540;13,9%;943;10,0%;680;16,2%;1.099;18,1%;1.230;1,2%;79;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;6%;;6%;;7%;;7%;;5%;;6%;;7%;;9%;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;7%;;7%;;7%;;8%;;58%;;6%;;7%;;8%;;;;
De 16 a 24 años;4,2%;;3%;;2%;;3%;;3%;;1%;;3%;;4%;;0%;;;;
De 25 a 44 años;7,5%;;6%;;6%;;7%;;7%;;6%;;6%;;6%;;10%;;;;
De 45 a 64 años;9,8%;;8%;;9%;;8%;;9%;;7%;;7%;;9%;;9%;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;6%;;6%;;6%;;7%;;4%;;6%;;7%;;10%;;;;
De 16 a 24 años;4,4%;;3%;;4%;;3%;;6%;;3%;;2%;;4%;;6%;;;;
De 25 a 44 años;6,0%;;5%;;5%;;6%;;5%;;4%;;5%;;5%;;11%;;;;
De 45 a 64 años;8,9%;;8%;;7%;;7%;;9%;;5%;;7%;;10%;;10%;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;35,9%;2.443;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;40,7%;995;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;59,3%;1.448;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;47,3%;3.215;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;48,6%;1.562;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;51,4%;1.653;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;52,7%;3.587;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;42,2%;1.514;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;57,8%;2.073;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;19.400;100%;2.698;100%;3.958;100%;2.153;100%;3.862;100%;3.957;100%;2.530;100%;242;;;
0 a 2 años;18,2%;84.692;20,3%;3.933;19,2%;517;19,7%;781;24,6%;530;20,2%;779;19,4%;767;20,5%;519;16,5%;40;;;
Infantil (3 a 5 años);18,7%;86.684;19,5%;3.774;18,0%;485;18,6%;735;21,1%;455;20,5%;791;19,3%;765;20,0%;507;14,9%;36;;;
Primaria (6 a 11 años);38,4%;178.445;36,5%;7.078;36,6%;988;36,3%;1.438;33,2%;714;37,5%;1.447;37,5%;1.484;36,2%;917;37,2%;90;;;
Secundaria (12 a 15 años);24,7%;114.517;23,8%;4.615;26,2%;708;25,4%;1.004;21,1%;454;21,9%;845;23,8%;941;23,2%;587;31,4%;76;;;
Etapas educativas. Total niños;51,2%;237557;50,7%;9.828;50,1%;1.351;50,1%;1.981;50,7%;1.091;51,9%;2.004;50,4%;1.995;50,4%;1.276;53,7%;130;;;
0 a 2 años;18,2%;43.261;20,4%;2.007;19,4%;262;20,4%;405;25,0%;273;20,3%;407;19,1%;381;20,5%;262;7,0%;17;;;
Infantil (3 a 5 años);18,7%;44.354;20,1%;1.975;18,9%;255;19,4%;384;20,9%;228;20,8%;417;20,3%;404;20,8%;266;8,7%;21;;;
Primaria (6 a 11 años);38,5%;91.575;35,7%;3.510;36,0%;487;34,7%;687;33,2%;362;37,0%;742;36,8%;734;35,4%;452;19,0%;46;;;
Secundaria (12 a 15 años);24,6%;58.367;23,8%;2.336;25,7%;347;25,5%;505;20,9%;228;21,9%;438;23,9%;476;23,2%;296;19,0%;46;;;
Etapas educativas. Total niñas;48,8%;226.781;49,3%;9.572;49,9%;1.347;49,9%;1.977;49,3%;1.062;48,1%;1.858;49,6%;1.962;49,6%;1.254;46,3%;112;;;
0 a 2 años;18,3%;41.431;20,1%;1.926;18,9%;255;19,0%;376;24,2%;257;20,0%;372;19,7%;386;20,5%;257;20,5%;23;;;
Infantil (3 a 5 años);18,7%;42.330;18,8%;1.799;17,1%;230;17,8%;351;21,4%;227;20,1%;374;18,4%;361;19,2%;241;13,4%;15;;;
Primaria (6 a 11 años);38,3%;86.870;37,3%;3.568;37,2%;501;38,0%;751;33,1%;352;37,9%;705;38,2%;750;37,1%;465;39,3%;44;;;
Secundaria (12 a 15 años);24,8%;56.150;23,8%;2.279;26,8%;361;25,2%;499;21,3%;226;21,9%;407;23,7%;465;23,2%;291;26,8%;30;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;17.780;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;31,1%;5.537;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;16,6%;2.960;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;52,2%;9.283;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;7,6%;1.352;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;32,8%;443;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;4,1%;56;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;63,1%;853;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;2,9%;516;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;45,9%;237;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;2,9%;15;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;51,2%;264;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;2,5%;3.135;2,4%;439;2,4%;716;3,6%;601;1,2%;176;2,4%;513;3,1%;672;2,2%;18;;;
Primaria incompleta;11,6%;291.746;8,2%;10.120;8,3%;1.524;8,2%;2.459;10,7%;1.775;4,4%;624;7,8%;1.696;9,2%;1.982;7,4%;60;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;19,9%;24.471;18,3%;3.367;17,9%;5.341;27,0%;4.453;13,7%;1.954;20,8%;4.503;21,5%;4.648;25,2%;205;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;19,5%;24.002;20,2%;3.717;19,5%;5.825;20,8%;3.442;18,3%;2.599;19,1%;4.139;18,9%;4.079;24,7%;201;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;12,3%;15.086;12,6%;2.305;12,7%;3.804;10,3%;1.699;15,0%;2.137;12,4%;2.679;10,9%;2.360;12,5%;102;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;37,4%;46.042;38,0%;6.979;39,1%;11.673;27,5%;4.537;47,3%;6.723;37,4%;8.081;36,2%;7.822;27,9%;227;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;157;0,2%;34;0,2%;71;0,1%;16;0,0%;5;0,1%;16;0,1%;15;0,0%;0;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;123.013;1;18.365;1;29.889;1;16.523;1;14.218;1;21.627;1;21.578;1;813;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;1,6%;64;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;46,9%;30;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;53,1%;34;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;25,7%;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;19,8%;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,3%;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,5%;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,1%;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;42,8%;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;18,3%;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,9%;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;10,2%;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,3%;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;41,3%;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;17,0%;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;11,5%;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;4,8%;9.676;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;44,7%;4.328;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;55,3%;5.348;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;123,57;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;4,82%;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;81,3;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;77,9;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;70,0;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;7,0;;;;;;;;;;;;;;;;;
