10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.542,72;;129,2;;137,53;;167,9;;284,98;;919,14;;543,01;;360,96;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;37,8%;1.815;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;3,2%;154;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;59,0%;2.829;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;3,9%;1.350;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;47,9%;646;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,2%;3;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;51,9%;701;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;6,6%;12.323;8,1%;1.042;6,1%;2.019;7,1%;1.973;6,0%;3.234;5,4%;810;2,7%;107;7,7%;3.138
Primaria incompleta;12,1%;301.397;17,0%;31.870;16,5%;2.124;15,6%;5.154;16,5%;4.565;18,0%;9.625;15,9%;2.396;7,1%;279;18,9%;7.727
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;32,1%;60.041;32,2%;4.147;31,2%;10.285;31,7%;8.769;32,4%;17.318;31,7%;4.774;25,6%;1.011;33,5%;13.737
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;20,2%;37.763;19,5%;2.513;20,2%;6.674;20,3%;5.607;20,3%;10.848;21,1%;3.186;24,0%;945;19,5%;7.990
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;8,6%;16.014;8,0%;1.031;8,4%;2.755;8,4%;2.329;8,8%;4.707;9,1%;1.368;16,0%;630;7,8%;3.194
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;15,3%;28.664;15,4%;1.985;18,3%;6.053;15,8%;4.363;14,3%;7.628;16,7%;2.520;24,7%;973;12,5%;5.142
