14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;3,1%;5.244;11,0%;578;7,3%;381;24,8%;1.302;19,6%;1.030;19,5%;1.022;16,3%;855
Tasa absoluta de paro registrado (agosto 2018);7,9%;;8,9%;;10,2%;;8,4%;;7,7%;;9,6%;;9,9%;;8,8%;
Tasa absoluta de paro registrado MUJERES;8,6%;;9,9%;;11,3%;;9,8%;;8,7%;;10,0%;;10,9%;;9,8%;
De 16 a 24 años;4,6%;;5,2%;;6,2%;;4,8%;;3,3%;;6,0%;;6,7%;;6,0%;
De 25 a 44 años;8,3%;;10,5%;;13,4%;;10,8%;;8,9%;;10,5%;;11,3%;;10,4%;
De 45 a 64 años;10,1%;;10,7%;;11,5%;;11,0%;;10,1%;;10,8%;;11,7%;;10,4%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;7,9%;;9,1%;;6,8%;;6,6%;;9,2%;;8,9%;;7,6%;
De 16 a 24 años;4,5%;;5,6%;;7,9%;;4,9%;;4,5%;;6,4%;;5,7%;;6,1%;
De 25 a 44 años;6,1%;;7,4%;;10,1%;;7,7%;;6,8%;;8,6%;;6,7%;;6,3%;
De 45 a 64 años;9,1%;;9,1%;;8,7%;;7,2%;;7,2%;;10,7%;;12,0%;;9,3%;
Parados de larga duración (agosto 2018);41,0%;68.898;44,9%;2.357;;;;;;;;;;;;
Hombres;40,4%;27.816;39,1%;921;;;;;;;;;;;;
Mujeres ;59,6%;41.082;60,9%;1.436;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;36,1%;1.892;;;;;;;;;;;;
Hombres;47,0%;29.412;46,2%;875;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,8%;1.017;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;63,9%;3.352;;;;;;;;;;;;
Hombres;40,7%;42.906;39,7%;1.332;;;;;;;;;;;;
Mujeres ;59,3%;62.424;60,3%;2.020;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;11.439;100,0%;1.164;100,0%;1.221;100,0%;2.946;100,0%;2.030;100,0%;2.155;100,0%;1.923
0 a 2 años;18,8%;87.088;16,3%;1.867;13,3%;155;9,4%;115;15,5%;457;19,4%;393;17,5%;377;19,2%;370
Infantil (3 a 5 años);18,7%;86.699;16,7%;1.908;17,4%;202;11,5%;140;16,5%;485;18,4%;374;17,6%;379;17,1%;328
Primaria (6 a 11 años);38,2%;176.730;38,6%;4.416;38,8%;452;41,3%;504;36,5%;1.076;36,3%;736;40,0%;862;40,9%;786
Secundaria (12 a 15 años);24,3%;112.494;28,4%;3.248;30,5%;355;37,8%;462;31,5%;928;26,0%;527;24,9%;537;22,8%;439
Etapas educativas. Total niños;51,2%;237.098;50,9%;5.817;49,0%;570;52,7%;643;51,8%;1.527;49,5%;1.004;51,2%;1.104;50,4%;969
0 a 2 años;18,8%;44.551;16,0%;929;15,1%;86;10,9%;70;15,3%;233;17,2%;173;17,6%;194;17,9%;173
Infantil (3 a 5 años);18,8%;44.489;16,3%;948;15,6%;89;10,9%;70;16,2%;247;19,2%;193;17,3%;191;16,3%;158
Primaria (6 a 11 años);38,2%;90.647;39,7%;2.310;40,0%;228;41,4%;266;37,7%;576;38,2%;384;40,8%;450;41,9%;406
Secundaria (12 a 15 años);24,2%;57.411;28,0%;1.630;29,3%;167;36,9%;237;30,8%;471;25,3%;254;24,4%;269;23,9%;232
Etapas educativas. Total niñas;48,8%;225.913;49,1%;5.622;51,0%;594;47,3%;578;48,2%;1.419;50,5%;1.026;48,8%;1.051;49,6%;954
0 a 2 años;18,8%;42.537;16,7%;938;11,6%;69;7,8%;45;15,8%;224;21,4%;220;17,4%;183;20,6%;197
Infantil (3 a 5 años);18,7%;42.210;17,1%;960;19,0%;113;12,1%;70;16,8%;238;17,6%;181;17,9%;188;17,8%;170
Primaria (6 a 11 años);38,1%;86.083;37,5%;2.106;37,7%;224;41,2%;238;35,2%;500;34,3%;352;39,2%;412;39,8%;380
Secundaria (12 a 15 años);24,4%;55.083;28,8%;1.618;31,6%;188;38,9%;225;32,2%;457;26,6%;273;25,5%;268;21,7%;207
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;14.973;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;37,2%;5.575;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;10,3%;1.537;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;52,5%;7.861;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;7,0%;1.049;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;13,5%;142;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;1,2%;13;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;85,2%;894;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;4,4%;653;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;33,4%;218;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;4,7%;31;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;61,9%;404;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;6,4%;4.725;10,0%;696;3,9%;164;4,4%;952;6,8%;963;7,8%;1.052;6,6%;898
Primaria incompleta;12,1%;301.397;14,5%;10.714;14,2%;989;8,1%;340;12,2%;2.636;14,6%;2.072;17,7%;2.378;16,8%;2.299
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;28,1%;20.856;27,6%;1.929;22,3%;932;25,7%;5.570;27,1%;3.841;33,2%;4.463;30,1%;4.121
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;21,3%;15.802;22,1%;1.543;22,1%;926;22,5%;4.866;20,3%;2.883;20,1%;2.711;21,0%;2.873
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;9,9%;7.318;9,3%;647;13,4%;560;11,2%;2.428;9,8%;1.389;7,8%;1.045;9,1%;1.249
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;19,7%;14.618;16,7%;1.169;30,2%;1.265;23,9%;5.160;21,1%;2.992;13,3%;1.788;16,4%;2.244
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;103;0,1%;10;0,0%;0;0,1%;23;0,2%;32;0,2%;23;0,1%;15
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;4,3%;169;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;45,0%;76;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;55,0%;93;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,3%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,1%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,7%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;71,6%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,2%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;41,7%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,8%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,6%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;13,0%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;34,5%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;43,6%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;20,0%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;6,9%;6.494;;;;;;;;;;;;
Hombres;48,1%;86.609;47,3%;3.071;;;;;;;;;;;;
Mujeres;51,9%;93.431;52,7%;3.423;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;111,5;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;75,0;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;69,2;;;;;;;;;;;;
Convivencia vecinal;;67,8;;66,8;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;7,3;;;;;;;;;;;;
Parques infantiles ;;6,3;;7,1;;;;;;;;;;;;
Centros culturales;;6,9;;7,7;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;7,2;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;7,4;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;7,1;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;81,1%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;31,5%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;11,2%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;0,0%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;64,5;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;72,4;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;60,3;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;6,4;;;;;;;;;;;;
2º. Consumo o menudeo de drogas;;4,0;;3,9;;;;;;;;;;;;
3º. Grafitis;;4,0;;3,7;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;25,2%;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;57,3%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;47,6%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;16,8%;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;77,6%;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0079;;0,0079;;0,0073;;0,0075;;0,0081;;0,0086;;0,0081
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;11;;54;;72;;66;;51;;44;;50
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);63,2%;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281;2,8%;3.628;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;2,5%;177;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;2,9%;465;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;1,7%;231;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;2,1%;154.433;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;3,6%;2.592;;;;;;;;;;;;
Hombres;;16.914;3,1%;531;;;;;;;;;;;;
Mujeres;;54.324;3,8%;2.061;;;;;;;;;;;;
