11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.404,83;;66,61;;110,73;;189,93;;158,92;;160,86;;561,32;;156,46;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,4%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;39,7%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;18,5%;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,5%;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,9%;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,2%;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;35,8%;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,1%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;6,1%;15.040;;;;;;;;;;;;;;
Hombres;48,1%;86.609;47,9%;7.208;;;;;;;;;;;;;;
Mujeres;51,9%;93.431;52,1%;7.832;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;108,7;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;65,7;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;66,6;;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;69,1;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,9;;;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,5;;;;;;;;;;;;;;
Centros culturales;;6,9;;7,1;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;7,5;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;7,1;;;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;7,0;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;86,1%;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;35,7%;;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;13,3%;;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;0,0%;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;75,7;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;77,3;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;59,4;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos ;;6,7;;6,4;;;;;;;;;;;;;;
