13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 748,8 € ;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;-4,0%;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;10,7%;17.806;;2.994;;3.283;;2.702;;2.859;;2.141;;3.421;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;10,7%;;12,9%;;10,6%;;9,5%;;9,9%;;11,6%;;10,5%;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;11,3%;;13,1%;;11,0%;;10,1%;;10,8%;;12,6%;;11,1%;;;;;;;;;
De 16 a 24 años;4,2%;;7,0%;;8,9%;;6,2%;;5,8%;;6,5%;;8,6%;;7,1%;;;;;;;;;
De 25 a 44 años;7,5%;;11,6%;;14,1%;;11,1%;;10,8%;;10,8%;;12,7%;;10,9%;;;;;;;;;
De 45 a 64 años;9,8%;;12,4%;;13,6%;;12,7%;;11,0%;;12,0%;;13,5%;;12,5%;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;10,1%;;12,7%;;10,1%;;9,0%;;9,0%;;10,6%;;9,8%;;;;;;;;;
De 16 a 24 años;4,4%;;7,2%;;9,3%;;6,2%;;7,1%;;6,5%;;8,1%;;6,8%;;;;;;;;;
De 25 a 44 años;6,0%;;9,0%;;11,1%;;8,3%;;8,9%;;8,7%;;9,3%;;8,4%;;;;;;;;;
De 45 a 64 años;8,9%;;12,3%;;15,6%;;14,0%;;9,7%;;10,2%;;13,0%;;12,5%;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;41,0%;7.302;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;41,3%;3.019;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;58,7%;4.283;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;39,0%;6.942;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;51,2%;3552;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;48,8%;3.390;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;61,0%;10.864;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;42,6%;4.623;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;57,4%;6.241;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;32.716;100%;5.073;100%;6.201;100%;5.301;100%;5.972;100%;3.899;100%;6.270;;;;;;;;
0 a 2 años;18,2%;84.692;18,5%;6.057;18,0%;915;20,9%;1.295;15,9%;841;18,2%;1.087;18,1%;706;19,3%;1.213;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;18,0%;5.902;17,8%;901;18,9%;1.171;16,0%;850;18,0%;1.073;18,8%;732;18,7%;1.175;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;37,7%;12.349;38,0%;1.930;36,6%;2.267;38,7%;2.051;38,0%;2.268;38,4%;1.496;37,3%;2.337;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;25,7%;8.408;26,2%;1.327;23,7%;1.468;29,4%;1.559;25,9%;1.544;24,7%;965;24,6%;1.545;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;51,5%;16.859;52,3%;2.651;51,8%;3.212;50,4%;2.672;51,0%;3.046;52,1%;2.030;51,8%;3.248;;;;;;;;
0 a 2 años;18,2%;43.261;18,3%;3.091;17,3%;459;20,9%;672;16,4%;438;18,4%;560;17,6%;357;18,6%;605;;;;;;;;
