07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;59,6%;1.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;14.767;100%;2.177;100%;2.471;100%;2.477;100%;2.238;100%;3.120;100%;2.284;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;20,4%;3.015;20,4%;445;19,5%;483;21,6%;534;20,8%;466;20,9%;652;19,0%;435;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,2%;2.833;20,4%;444;20,2%;499;18,6%;460;18,5%;415;19,6%;613;17,6%;402;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;36,3%;5.367;36,5%;794;36,4%;900;36,8%;912;35,9%;804;36,2%;1.128;36,3%;829;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;24,1%;3.552;22,7%;494;23,8%;589;23,1%;571;24,7%;553;23,3%;727;27,1%;618;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,8%;7.496;51,4%;1.118;52,1%;1.288;51,6%;1.277;50,5%;1.131;50,0%;1.559;49,2%;1.123;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;20,6%;1.541;21,2%;237;18,2%;235;21,4%;273;20,5%;232;22,1%;344;19,6%;220;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,7%;1.477;20,1%;225;20,8%;268;19,5%;249;18,6%;210;20,7%;323;18,0%;202;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;35,8%;2.682;35,9%;401;35,7%;460;36,1%;461;36,6%;414;35,1%;547;35,5%;399;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;24,0%;1.796;22,8%;255;25,2%;325;23,0%;294;24,3%;275;22,1%;345;26,9%;302;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,2%;7.271;48,6%;1.059;47,9%;1.183;48,4%;1.200;49,5%;1.107;50,0%;1.561;50,8%;1.161;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;20,3%;1.474;19,6%;208;21,0%;248;21,8%;261;21,1%;234;19,7%;308;18,5%;215;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;18,6%;1.356;20,7%;219;19,5%;231;17,6%;211;18,5%;205;18,6%;290;17,2%;200;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;36,9%;2.685;37,1%;393;37,2%;440;37,6%;451;35,2%;390;37,2%;581;37,0%;430;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;24,2%;1.756;22,6%;239;22,3%;264;23,1%;277;25,1%;278;24,5%;382;27,2%;316;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;22.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;51,6%;11.351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;23,3%;5.129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;25,1%;5.537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
