04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;145%;61.466,0 €;133%;81.691,9 €;89%;54.456,4 €;72%;44.221,1 €;81%;50.064,0 €;89%;54.487,7 €;132%;81.379,8 €;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;35.091,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;117%;1.773,2 €;104%;1.838,4 €;96%;1.710,2 €;97%;1.723,2 €;102%;1.812,4 €;100%;1.779,1 €;101%;1.792,4 €;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;120%;1.370,2 €;96%;1.314,1 €;98%;1.336,2 €;97%;1.329,5 €;104%;1.421,9 €;103%;1.404,7 €;98%;1.340,0 €;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;2,7%;4.388;7,3%;321;19,0%;835;17,8%;783;31,7%;1.391;12,9%;566;7,2%;317;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;4,61;;3,27;;4,47;;6,01;;5,35;;4,32;;2,94;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;4,12;;2,73;;3,52;;5,64;;4,89;;4,01;;2,73;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;1,24;;0,51;;1,55;;1,37;;1,73;;0,75;;0,83;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;3,06;;2,16;;2,88;;4,13;;3,63;;2,76;;1,70;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;6,30;;3,99;;4,92;;8,47;;7,41;;6,72;;4,81;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;5,03;;3,71;;5,24;;6,32;;5,77;;4,58;;3,11;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;0,90;;0,78;;1,20;;1,21;;1,28;;0,36;;0,33;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;3,99;;3,13;;4,18;;5,12;;4,54;;3,25;;2,54;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;7,40;;5,18;;7,67;;8,91;;8,21;;7,56;;4,96;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;51,9%;2.278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,3%;872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,7%;1.406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;46,0%;2.018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;43,5%;877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;56,5%;1.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;54,0%;2.370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;38,8%;920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;61,2%;1.450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;16.147;100%;1.814;100%;3.085;100%;2.256;100%;4.777;100%;2.253;100%;1.962;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;20,5%;3.305;21,3%;386;22,3%;688;19,9%;449;19,0%;908;20,6%;464;20,9%;410;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,1%;3.085;19,5%;354;19,7%;608;19,4%;437;19,0%;906;19,0%;427;18,0%;353;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;36,4%;5.877;35,7%;647;35,9%;1.108;37,0%;834;36,9%;1.765;36,7%;826;35,5%;697;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;24,0%;3.880;23,5%;427;22,1%;681;23,8%;536;25,1%;1.198;23,8%;536;25,6%;502;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,6%;8.175;51,9%;942;51,7%;1.594;49,2%;1.111;51,6%;2.465;49,1%;1.106;48,8%;957;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;20,6%;1.683;20,8%;196;23,3%;371;20,0%;222;19,7%;486;19,7%;218;19,9%;190;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,1%;1.563;19,5%;184;19,9%;318;20,6%;229;18,4%;454;18,5%;205;18,1%;173;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;35,8%;2.930;36,4%;343;34,9%;557;35,6%;395;35,7%;880;37,0%;409;36,2%;346;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;24,5%;1.999;23,2%;219;21,8%;348;23,9%;265;26,2%;645;24,8%;274;25,9%;248;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,4%;7.972;48,1%;872;48,3%;1.491;50,8%;1.145;48,4%;2.312;50,9%;1.147;51,2%;1.005;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;20,3%;1.622;21,8%;190;21,3%;317;19,8%;227;18,3%;422;21,4%;246;21,9%;220;;;;;;;;;;;;;;;;;
