CodigoEstacion,NombreEstacion,Utilizaciones2014,Utilizaciones2015,Utilizaciones2016,Utilizaciones2017,Utilizaciones2018,Utilizaciones2019,Utilizaciones2020,Utilizaciones2021,Utilizaciones2022,Utilizaciones2023
202,Manuel Becerra,12438664,12284351,12730287,14274821,13391339,14309908,7633683,9284711,11091649,13125407
203,Goya,15534028,14926603,16105824,16478016,18051490,17438987,7125294,11522464,15886350,18557187
204,Príncipe de Vergara,9441644,9533428,9992713,10522754,11903179,10432305,6863373,8324742,10251361,12061650
205,Retiro,4148285,4309711,4498072,4886653,5083441,5896595,2537519,3612177,5067527,5999890
206,Banco de España,6142051,5697193,6057794,6263882,7292002,4672281,2749428,3745138,5333833,6529291
207,Sevilla,3170652,3123190,3541221,3758803,1150897,1513585,1174700,1661555,2571392,3406289
209,Ópera,19610591,19442595,20382928,19786690,21953486,24384337,12381922,14850637,19075951,23079446
210,Santo Domingo,2599617,2652278,2796746,2669464,2794760,3035386,1468398,1957718,2840672,3703105
211,Noviciado,3550906,3619911,3960287,4105560,5055243,4633975,2644264,3478374,4658660,5606957
212,San Bernardo,5188071,4960829,5473085,5523343,7152830,7381834,2796485,4354814,5891761,6934322
213,Quevedo,5098856,5083794,5481275,5688297,5957643,5624841,3020272,3689722,4530741,5469176
214,Canal,10831156,11164636,11435767,3339387,13111084,13511975,7169034,8798589,11988150,13663583
251,La Elipa,4262658,4337650,4510360,4655806,5282142,5170211,3200543,4106739,5023468,5794290
252,La Almudena,1208774,1146286,1311329,1450721,1905068,2068724,1348911,1745372,2217222,2643413
253,Alsacia,2764755,2701824,2917831,3183705,3227947,3315384,1948177,2573177,3345762,3958671
254,Avenida de Guadalajara,1577536,1546069,1684009,1797586,2129440,2261417,1359392,1752368,2269877,2632214
255,Las Rosas,1664987,1635621,1780995,1971224,2965189,2511514,1279240,1631966,2150418,2446747
301,Legazpi,20882212,21330043,22698074,24263217,22178806,25239382,14373972,18313451,24187072,28985443
302,Delicias,5674347,5746759,5994636,7230494,7158034,7657667,3828429,4767471,5895797,6606568
303,Palos de la Frontera,4620650,4678203,4973072,5250070,4686303,5172098,2708515,3471551,4333531,5439615
304,Embajadores,9550280,10404559,10963019,2631593,12334586,13016097,6806940,8490055,10073195,11753029
305,Lavapiés,5733064,5879855,6314404,6607538,6843071,7284930,3884421,5080616,6218444,7824477
307,Callao,18038525,19094673,19563900,19442217,21627220,29423627,13201209,15303823,18251197,21612550
308,Plaza de España,20185905,19472665,21499521,21782441,23954089,26997270,12973391,17006552,23911190,29908574
309,Ventura Rodríguez,2614857,2610708,2816731,3086237,3153399,3427548,1665763,2143241,2626415,2991450
310,Argüelles,21587589,20969388,21442271,22986799,25421436,24440416,10074003,14590179,19683897,22142343
311,Moncloa,37552835,36616959,38296775,40909622,42073023,43044697,22899656,29762478,37539140,42845588
351,Almendrales,2977076,3020077,3210539,3427243,3795520,4520156,2701629,3471372,4256511,4982316
352,Hospital 12 de Octubre,2717130,2690935,2821901,3185385,3678580,3911399,2289186,2960698,3672988,4236902
353,San Fermín-Orcasur,3035161,3164563,3351311,3643830,3840113,4528076,2655742,3514558,4421952,5168015
354,Ciudad de los Ángeles,3964869,4039055,4208250,2744288,4758119,5511503,3402659,4318632,5336874,6088895
355,Villaverde Bajo-Cruce,5259096,5086188,5453912,6004207,5902243,7103085,4545530,5896901,7233190,8783803
356,San Cristóbal,2134595,2154768,2260566,2506043,2556038,3096591,2181539,2662348,3163892,4070174
357,Villaverde Alto,4098088,4080806,4369156,4718977,5065652,5387731,3363239,4325654,5188979,6327430
404,Alonso Martínez,24223081,25177286,27437887,25337690,28449983,31569831,13256576,18832974,24559119,29085007
405,Colón,2708940,2634177,2694762,11426461,3103673,2917829,558932,1301327,1843658,2285587
406,Serrano,4396524,4414328,4462307,4756181,4809637,5400302,1422941,3148887,4236602,4924357
407,Velázquez,2832759,3616515,3896373,4155554,4147378,4382903,1231900,2662973,3512622,4085878
409,Lista,2088210,2674648,2730639,3121338,3076127,3160511,887191,1967919,2610396,3074385
410,Diego de León,18451454,18538294,19793159,6385473,21512671,23850678,11274345,14502699,16918319,19715046
411,Avenida de América,49502293,50693337,52482739,60203436,53760834,55532853,27507553,35284265,42740764,49058126
412,Prosperidad,4034735,4004304,4017526,4278106,4218964,4099451,1355348,2743690,3482467,4178165
413,Alfonso XIII,5122639,5092889,5109124,5930456,5738262,5877012,1747412,3454694,4442306,5141257
414,Avenida de La Paz,2468233,2291300,2308817,2494585,2279892,2344369,672376,1338149,1747441,2056067
415,Arturo Soria,3829012,4348220,4428114,5112558,4496219,4015034,1207670,2531498,3268891,3757924
416,Esperanza,2721056,2662570,2701893,2185898,2795889,2888475,969649,1929276,2643190,3013767
417,Canillas,4404591,4278645,4460143,12139351,4725819,4786632,1506354,3003992,3958021,4525555
418,Mar de Cristal,10424737,10384059,10644278,10689929,9864215,10253547,5059649,6172476,8692521,9958118
419,San Lorenzo,2863950,2869657,3133760,3201628,3044041,3158547,926792,1813279,2463005,2938600
420,Parque de Santa María,2215187,2160559,2247646,2339507,2161944,2278763,821928,1543689,1969012,2401206
421,Hortaleza,1587389,1580569,1625190,1846167,2272233,2339724,887305,1775639,2343359,2768490
422,Manoteras,1375240,1367586,1416799,1556976,1763051,1806983,693730,1318832,1664669,1882821
501,Canillejas,3495435,3655130,3717566,4730356,4305404,4537890,2475291,3113978,4261753,4928864
502,Torre Arias,2856503,2716294,2845947,2501333,2843968,3139206,1728057,2102301,2821462,3378686
503,Suanzes,3664410,3759434,3835659,3526037,5236863,4972381,2046936,2467319,3632363,4419626
504,Ciudad Lineal,6425864,6481553,6651970,4549940,6708672,6956876,3459611,4122778,5313199,6308814
505,Pueblo Nuevo,11334724,11175103,11729959,11707722,12616887,12993084,7613551,9317967,11691583,13586676
506,Quintana,4361665,4247039,4562857,4195754,4562307,5145673,2919599,3614161,4547975,5311110
507,El Carmen,5715858,5685221,5939595,1049001,6009954,6835563,3635888,4521912,5612044,6495564
510,Núñez de Balboa,10830921,11078727,11366741,11331167,11457707,12679005,6717169,7850348,10696250,11201089
511,Rubén Darío,4655379,4625496,4658796,4234308,5215268,4870262,2185368,2686763,3581401,4046552
513,Chueca,3006761,2837422,3278864,13232320,4680150,5606257,2424107,3039046,3531941,4075931
517,La Latina,5529809,5714067,6097599,5482478,6445698,6913803,3186350,4441399,5649956,7124266
518,Puerta de Toledo,4168317,4267087,4274359,3870501,3774626,3796594,1806431,2404201,3318391,3725555
519,Acacias,2793313,2854665,2911810,2626999,4098463,4447629,2312357,2999357,3393670,3907939
520,Pirámides,3341066,3479807,3426430,3039781,3771397,3460697,1704728,2216934,2781224,3263315
